Company Name,Position,Location,Date Posted,Job URL,Time Span
Spokane Public Schools,"ASSISTANT TRACK COACH - HIGH JUMP @ SHADLE PARK HIGH SCHOOL, CL TEMP.","Spokane, WA 99201 
(Riverside area)",,https://www.indeed.com/rc/clk?jk=08e9df57d07dea24&bb=oGATSOYKYhZZX-dUELg4NyeR_kUp1rkRxB8YfECa6ZnAx2m44qms-DbXauy_OSWVvQdNNm66qkvvVr5zYwBKYbVzEVTlkrDgZcEXb9G-Q8OLAOGOSRwwZhMWCb52E5X4&xkcb=SoCA67M34dZwg3SMaB0NbzkdCdPP&fccid=0e2e0e63453718f2&vjs=3,14Days
Spokane Public Schools,"PARAEDUCATOR - STUDENT @ WHITMAN ELEMENTARY SCHOOL, 7 HRS, CONT.","Spokane, WA 99201 
(Riverside area)",,https://www.indeed.com/rc/clk?jk=f42936c3a92ddb8c&bb=PV14JzYWxNgEA4O9HiCAf-bOe3HX5eRr8YsXyXvd6O57_-jcCiC5OnqMYRkEFfpAtmxHesyFEm1jbSkrINtBClxGm0kboRFLHzm-r5ZjNTT4DFcxS8k78568zXUaeyf7&xkcb=SoDm67M34dai38yMaB0NbzkdCdPP&fccid=0e2e0e63453718f2&vjs=3,14Days
Spokane Public Schools,"PSYCHOLOGIST @ SPECIAL EDUCATION 1.0 FTE, CONT.","Spokane, WA 99201 
(Riverside area)",,https://www.indeed.com/rc/clk?jk=18bcd57b3b835dcc&bb=M61TmnZQeAmMx-3qAG99gcESHbZMgYC6hJ4ZRdf1bmL1jSdxvYmJNtjeSP-VaO2lbeazmgE9OHdPbUw6192koY-OoRh02_LQ5YsmCeftxbt07jFMDH6LKFlU4Js4tuOM&xkcb=SoA767M34dbFMfRUIx0JbzkdCdPP&fccid=0e2e0e63453718f2&vjs=3,14Days
"KPG Provider Services, LLC",CRNA (ENPLWPRI),"Spokane, WA",,https://www.indeed.com/rc/clk?jk=3a0ccd998dd16695&bb=2hBP4RpS3s0AFCRshUuE7yfyEc3T4YUoSON5d6mwQVb3hVpuwcCP9MKbvrJ-7vfGkW5RCYGteVFhMIwea6Oi36WXbsq39duTmoChhfaEkiCZZEIadWOzvhYJ1F8h9tI0&xkcb=SoCM67M34dbV0Cy4Rh0JbzkdCdPP&fccid=0637abf5efe11869&vjs=3,14Days
AIT Worldwide Home Delivery,Delivery & Assembly Contractor Fitness and Furniture –Spokane WA,"Spokane, WA 99218",,https://www.indeed.com/rc/clk?jk=daaae6c35dd80fad&bb=2hBP4RpS3s0AFCRshUuE7z6FoObW7VoWz2sIAgYikgL0pohjREfv1O_55XDap7OCbb9wB0E10BN-kgoHANL3LwTFi4ngu-czzLn4Cz4lc4YFZR7Wftby6lj-jqJIC_vz&xkcb=SoDr67M34dbV0Cy4Rh0BbzkdCdPP&fccid=f0d1bb7232579abb&vjs=3,14Days
Spokane Public Schools,"PARAEDUCATOR - STUDENT @ WHITMAN ELEMENTARY SCHOOL, 7 HRS, CONT.","Spokane, WA 99201 
(Riverside area)",,https://www.indeed.com/rc/clk?jk=bea45d13fccb2a6e&bb=12Kh1T8sb1OVVm5Y6eONquTxsU0hoO9k6srEtpWhmFqiqyjYwkM1Wz1C_Y7VLZzLItg4Rg_M1htATQrH9XcOqlefR0LEQt5qix__5CWKXvSNlDBh7M_CQg%3D%3D&xkcb=SoAm67M34dbl2tRUKZ0KbzkdCdPP&fccid=0e2e0e63453718f2&vjs=3,14Days
Lincare Inc.,Document Review Clerk,"Spokane, WA 99208",,https://www.indeed.com/rc/clk?jk=530c4b982c607fb2&bb=daGKdvA4pVMN5YctlhjDQuVA2AgGMwApXm0u5dmcU-Aq9pei66TLcbhPbf1YPnJ06MjgJtxKunhC_SrJBXHGsM5e80-eumQKNhG7QU0-N9nefHBsxn6dkmCaEdTR-xTl&xkcb=SoAg67M34db3KpxUKZ0IbzkdCdPP&fccid=0ec40db0afd3def5&vjs=3,14Days
Resolute Road Hospitality,Director of HR,"Spokane, WA 99201",,https://www.indeed.com/rc/clk?jk=d74e3e3dbdb49fab&bb=daGKdvA4pVMN5YctlhjDQkzG6osgtT3QHIBSygQ-joorzthQ5VeWHA2Xht4n9JZAdEgTIMjRzjx1EvQaq3NPIRbD-K4a2ql9lBLX1DyYAZHbysSt_nBWHv4HFq94oQlQn8MlsHPe-iY%3D&xkcb=SoCu67M34db3KpxUKZ0PbzkdCdPP&fccid=0a36b45f4439348e&vjs=3,14Days
Riverstone Logistics,Location Manager,"Hybrid work in Spokane, WA 99201",,https://www.indeed.com/rc/clk?jk=eb45d62c6db91f36&bb=2zdFQd0_kWIy74B8Fnui1jrImqDjza5NONb_AdbeVRKvZw1dPfqeb2b2QrihqrugQghzyE0Qqo3V2azLOqf96xc8lG7tuiblNfyOnkrV7gUnEtdtdwoNwNEg0Hc3PAm1&xkcb=SoC-67M34dcHOUSNgB0AbzkdCdPP&fccid=e9512f33e88071ec&vjs=3,14Days
Dairy Queen,Front Counter Crew Member,"Spokane, WA 99223 
(Moran Prairie area)",,https://www.indeed.com/rc/clk?jk=d3258f33d80b64ae&bb=PDEcVaZcv7mwK20ZERWI_nJqN8EtJ9znwZqU1WY2-q9mCjh2MbUWdiUIhIcsVWg2jdiZwRB1EASOn8c5pkwzeB2c4coCm0hebDzGdsMRSA_4L1HdSzSMLdqjqTy9FSOS&xkcb=SoDe67M34ddr0JyT9B0NbzkdCdPP&fccid=999cdc81874b9237&vjs=3,14Days
"Acme Concrete Paving, Inc.",Cement Mason Lead,"Spokane, WA",,https://www.indeed.com/rc/clk?jk=f01c6f8d2fed352c&bb=PDEcVaZcv7mwK20ZERWI_iP6dpacGDTs7ER_oN4-3GW1qievhGWqLgaQRvwxql8zUh5nXeLaloXv78SiyNgMtZNSYVhvHaWfdgmITmfY_lQPxacCQhVxDQpn9jdj_BHw&xkcb=SoCQ67M34ddr0JyT9B0HbzkdCdPP&fccid=48bac6a7e2ebd636&vjs=3,14Days
Boston's Pizza,Bartender,"Spokane, WA 99216",,https://www.indeed.com/rc/clk?jk=c2044d275c64dd68&bb=4xIH1JCMpLA6uB7mJR_ZFLoHuHK2GvYEOqfLZXLgGsYPLVyv2tSuw3qIvsispi1yzS6rsIecMGcezZ-ysgUPu8L_kb5DgPVOoM5PordI6frJsCREVvmOtndSAwgFb_nC&xkcb=SoDC67M34deOJ1y4Qh0ObzkdCdPP&fccid=c1b1b03bc22e7808&vjs=3,14Days
Wingstop 728 - Newport,Crew Member,"Spokane, WA 99218",,https://www.indeed.com/rc/clk?jk=c0c7ea515036864f&bb=4xIH1JCMpLA6uB7mJR_ZFL-JJ0cNvaMFJy3RvhkbX9-h7481svc1opqrPZwNpEWVch2OmEYy0PEh2g9mExLBlHzMolV6lZNqhJvVqMnNnae2yWHJPWQuPWKrKSmq_Juj&xkcb=SoAr67M34deOJ1y4Qh0BbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,14Days
