Tournament,Season,Round,Date,StartTime,MatchID,MatchCustomID,MatchStatus,HomeTeamnName,HomeTeamnNameCode,HomeTeamID,AwayTeamName,AwayTeamNameCode,AwayTeamID,HomeScoreFT,AwayScoreFT
Kenyan Premier League,2016,1,2016-02-13,14:00,6990983,PufbsYufb,Finished,Ulinzi Stars,ULS,138498,Sony Sugar,SSU,138490,0,0
Kenyan Premier League,2016,1,2016-02-13,15:00,7000345,avfbsexKb,Finished,Kakamega Homeboyz,KAH,213604,Western Stima FC,WST,138500,2,2
Kenyan Premier League,2016,1,2016-02-13,15:00,6990984,FufbsNufb,Finished,Sofapaka,SOF,138488,Kenya Rev. Authority,KAU,138480,3,3
Kenyan Premier League,2016,1,2016-02-13,15:00,6990981,RufbsWufb,Finished,Thika United,TUN,138492,Tusker,TUS,138496,1,1
Kenyan Premier League,2016,1,2016-02-14,14:00,7000346,JufbsfxKb,Finished,Posta Rangers,PRA,213605,Muhoroni Youth FC,MUY,138484,2,2
Kenyan Premier League,2016,1,2016-02-14,16:15,6990982,IDFsHufb,Finished,AFC Leopards SC,LDS,76433,Mathare United,MAU,138482,1,1
Kenyan Premier League,2016,1,2016-02-17,15:00,6990986,gLdbsBufb,Finished,Chemelil Sugar,CSU,138476,Gor Mahia FC,GOR,134306,0,0
Kenyan Premier League,2016,1,2016-02-18,16:00,6990985,zufbsLufb,Finished,Nairobi City Stars FC,NCS,138486,Bandari FC,BAN,138474,2,2
Kenyan Premier League,2016,2,2016-02-20,15:00,7006195,FufbsRufb,Finished,Kenya Rev. Authority,KAU,138480,Thika United,TUN,138492,1,1
Kenyan Premier League,2016,2,2016-02-20,15:00,7006193,JufbsNufb,Finished,Muhoroni Youth FC,MUY,138484,Sofapaka,SOF,138488,1,1
Kenyan Premier League,2016,2,2016-02-20,15:00,7006191,WufbsYufb,Finished,Tusker,TUS,138496,Ulinzi Stars,ULS,138498,0,0
Kenyan Premier League,2016,2,2016-02-21,14:00,7006190,BufbsHufb,Finished,Mathare United,MAU,138482,Chemelil Sugar,CSU,138476,1,1
Kenyan Premier League,2016,2,2016-02-21,15:00,7006196,zufbsexKb,Finished,Bandari FC,BAN,138474,Kakamega Homeboyz,KAH,213604,2,2
Kenyan Premier League,2016,2,2016-02-21,15:00,7006194,Lufbsavfb,Finished,Western Stima FC,WST,138500,Nairobi City Stars FC,NCS,138486,2,2
Kenyan Premier League,2016,2,2016-02-21,16:15,7006192,gLdbsfxKb,Finished,Gor Mahia FC,GOR,134306,Posta Rangers,PRA,213605,1,1
Kenyan Premier League,2016,2,2016-02-22,15:00,7006197,IDFsPufb,Finished,Sony Sugar,SSU,138490,AFC Leopards SC,LDS,76433,1,1
Kenyan Premier League,2016,3,2016-02-27,14:00,7012395,HufbsNufb,Finished,Sofapaka,SOF,138488,Mathare United,MAU,138482,2,2
Kenyan Premier League,2016,3,2016-02-27,15:00,7012397,FufbsPufb,Finished,Sony Sugar,SSU,138490,Kenya Rev. Authority,KAU,138480,0,0
Kenyan Premier League,2016,3,2016-02-27,16:15,7012398,LufbsWufb,Finished,Nairobi City Stars FC,NCS,138486,Tusker,TUS,138496,1,1
Kenyan Premier League,2016,3,2016-02-28,14:00,7012402,JufbsRufb,Finished,Thika United,TUN,138492,Muhoroni Youth FC,MUY,138484,1,1
Kenyan Premier League,2016,3,2016-02-28,15:00,7012401,BufbsexKb,Finished,Kakamega Homeboyz,KAH,213604,Chemelil Sugar,CSU,138476,0,0
Kenyan Premier League,2016,3,2016-02-28,15:00,7012396,avfbsfxKb,Finished,Posta Rangers,PRA,213605,Western Stima FC,WST,138500,1,1
Kenyan Premier League,2016,3,2016-03-02,19:00,7012399,IDFszufb,Finished,AFC Leopards SC,LDS,76433,Bandari FC,BAN,138474,1,1
Kenyan Premier League,2016,3,2016-03-03,16:00,7012400,gLdbsYufb,Finished,Ulinzi Stars,ULS,138498,Gor Mahia FC,GOR,134306,0,0
Kenyan Premier League,2016,4,2016-03-05,14:00,7019203,HufbsexKb,Finished,Mathare United,MAU,138482,Kakamega Homeboyz,KAH,213604,0,0
Kenyan Premier League,2016,4,2016-03-05,15:00,7019202,BufbsLufb,Finished,Chemelil Sugar,CSU,138476,Nairobi City Stars FC,NCS,138486,0,0
Kenyan Premier League,2016,4,2016-03-05,15:00,7019197,JufbsWufb,Finished,Muhoroni Youth FC,MUY,138484,Tusker,TUS,138496,1,1
Kenyan Premier League,2016,4,2016-03-05,15:00,7019196,Rufbsavfb,Finished,Western Stima FC,WST,138500,Thika United,TUN,138492,1,1
Kenyan Premier League,2016,4,2016-03-05,16:15,7019200,NufbsfxKb,Finished,Posta Rangers,PRA,213605,Sofapaka,SOF,138488,1,1
Kenyan Premier League,2016,4,2016-03-06,15:00,7019201,zufbsPufb,Finished,Bandari FC,BAN,138474,Sony Sugar,SSU,138490,1,1
Kenyan Premier League,2016,4,2016-03-06,15:00,7019199,IDFsgLdb,Finished,Gor Mahia FC,GOR,134306,AFC Leopards SC,LDS,76433,0,0
Kenyan Premier League,2016,4,2016-03-06,15:00,7019198,FufbsYufb,Finished,Kenya Rev. Authority,KAU,138480,Ulinzi Stars,ULS,138498,0,0
Kenyan Premier League,2016,5,2016-03-12,14:00,7024729,gLdbsLufb,Finished,Nairobi City Stars FC,NCS,138486,Gor Mahia FC,GOR,134306,2,2
Kenyan Premier League,2016,5,2016-03-12,15:00,7024730,exKbsfxKb,Finished,Kakamega Homeboyz,KAH,213604,Posta Rangers,PRA,213605,2,2
Kenyan Premier League,2016,5,2016-03-12,15:00,7024726,JufbsPufb,Finished,Sony Sugar,SSU,138490,Muhoroni Youth FC,MUY,138484,0,0
Kenyan Premier League,2016,5,2016-03-12,15:00,7024725,Yufbsavfb,Finished,Ulinzi Stars,ULS,138498,Western Stima FC,WST,138500,1,1
Kenyan Premier League,2016,5,2016-03-13,14:00,7024723,FufbsWufb,Finished,Tusker,TUS,138496,Kenya Rev. Authority,KAU,138480,2,2
Kenyan Premier League,2016,5,2016-03-13,15:00,7024728,IDFsBufb,Finished,AFC Leopards SC,LDS,76433,Chemelil Sugar,CSU,138476,1,1
Kenyan Premier League,2016,5,2016-03-13,15:00,7024727,HufbsRufb,Finished,Thika United,TUN,138492,Mathare United,MAU,138482,0,0
Kenyan Premier League,2016,5,2016-03-13,16:15,7024724,zufbsNufb,Finished,Sofapaka,SOF,138488,Bandari FC,BAN,138474,0,0
Kenyan Premier League,2016,6,2016-03-30,15:00,7029876,zufbsYufb,Finished,Bandari FC,BAN,138474,Ulinzi Stars,ULS,138498,1,1
Kenyan Premier League,2016,6,2016-03-30,15:00,7029874,BufbsWufb,Finished,Chemelil Sugar,CSU,138476,Tusker,TUS,138496,0,0
Kenyan Premier League,2016,6,2016-03-30,15:00,7029872,FufbsJufb,Finished,Muhoroni Youth FC,MUY,138484,Kenya Rev. Authority,KAU,138480,1,1
Kenyan Premier League,2016,6,2016-03-30,15:00,7029877,PufbsfxKb,Finished,Posta Rangers,PRA,213605,Sony Sugar,SSU,138490,1,1
Kenyan Premier League,2016,6,2016-03-30,15:00,7029873,Nufbsavfb,Finished,Western Stima FC,WST,138500,Sofapaka,SOF,138488,1,1
Kenyan Premier League,2016,6,2016-03-30,16:00,7029871,HufbsLufb,Finished,Mathare United,MAU,138482,Nairobi City Stars FC,NCS,138486,0,0
Kenyan Premier League,2016,6,2016-03-30,19:00,7029875,IDFsexKb,Finished,AFC Leopards SC,LDS,76433,Kakamega Homeboyz,KAH,213604,2,2
Kenyan Premier League,2016,6,2016-04-06,19:00,7029878,gLdbsRufb,Finished,Gor Mahia FC,GOR,134306,Thika United,TUN,138492,2,2
Kenyan Premier League,2016,7,2016-04-02,14:00,7039906,gLdbsexKb,Finished,Kakamega Homeboyz,KAH,213604,Gor Mahia FC,GOR,134306,0,0
Kenyan Premier League,2016,7,2016-04-02,14:00,7039911,BufbsNufb,Finished,Sofapaka,SOF,138488,Chemelil Sugar,CSU,138476,1,1
Kenyan Premier League,2016,7,2016-04-02,15:00,7039910,RufbsfxKb,Finished,Thika United,TUN,138492,Posta Rangers,PRA,213605,0,0
Kenyan Premier League,2016,7,2016-04-02,16:15,7039909,zufbsWufb,Finished,Tusker,TUS,138496,Bandari FC,BAN,138474,1,1
Kenyan Premier League,2016,7,2016-04-03,14:00,7039905,FufbsHufb,Finished,Kenya Rev. Authority,KAU,138480,Mathare United,MAU,138482,0,0
Kenyan Premier League,2016,7,2016-04-03,15:00,7039907,Pufbsavfb,Finished,Sony Sugar,SSU,138490,Western Stima FC,WST,138500,0,0
Kenyan Premier League,2016,7,2016-04-03,16:15,7039908,IDFsLufb,Finished,Nairobi City Stars FC,NCS,138486,AFC Leopards SC,LDS,76433,1,1
Kenyan Premier League,2016,7,2016-04-04,15:00,7039912,JufbsYufb,Finished,Ulinzi Stars,ULS,138498,Muhoroni Youth FC,MUY,138484,2,2
Kenyan Premier League,2016,8,2016-04-09,14:00,7046357,IDFsNufb,Finished,AFC Leopards SC,LDS,76433,Sofapaka,SOF,138488,2,2
Kenyan Premier League,2016,8,2016-04-09,15:00,7046355,LufbsexKb,Finished,Kakamega Homeboyz,KAH,213604,Nairobi City Stars FC,NCS,138486,1,1
Kenyan Premier League,2016,8,2016-04-09,15:00,7046356,Wufbsavfb,Finished,Western Stima FC,WST,138500,Tusker,TUS,138496,1,1
Kenyan Premier League,2016,8,2016-04-09,16:15,7046359,HufbsPufb,Finished,Mathare United,MAU,138482,Sony Sugar,SSU,138490,1,1
Kenyan Premier League,2016,8,2016-04-10,13:00,7046358,BufbsRufb,Finished,Chemelil Sugar,CSU,138476,Thika United,TUN,138492,0,0
Kenyan Premier League,2016,8,2016-04-10,14:00,7046360,YufbsfxKb,Finished,Posta Rangers,PRA,213605,Ulinzi Stars,ULS,138498,1,1
Kenyan Premier League,2016,8,2016-04-10,15:00,7046361,zufbsJufb,Finished,Muhoroni Youth FC,MUY,138484,Bandari FC,BAN,138474,1,1
Kenyan Premier League,2016,8,2016-04-10,16:15,7046362,gLdbsFufb,Finished,Gor Mahia FC,GOR,134306,Kenya Rev. Authority,KAU,138480,0,0
Kenyan Premier League,2016,9,2016-04-16,13:00,7050398,Jufbsavfb,Finished,Muhoroni Youth FC,MUY,138484,Western Stima FC,WST,138500,0,0
Kenyan Premier League,2016,9,2016-04-16,15:00,7050400,zufbsfxKb,Finished,Bandari FC,BAN,138474,Posta Rangers,PRA,213605,1,1
Kenyan Premier League,2016,9,2016-04-16,15:00,7050397,BufbsPufb,Finished,Sony Sugar,SSU,138490,Chemelil Sugar,CSU,138476,1,1
Kenyan Premier League,2016,9,2016-04-16,15:00,7050393,gLdbsWufb,Finished,Tusker,TUS,138496,Gor Mahia FC,GOR,134306,1,1
Kenyan Premier League,2016,9,2016-04-17,14:00,7050396,HufbsYufb,Finished,Ulinzi Stars,ULS,138498,Mathare United,MAU,138482,0,0
Kenyan Premier League,2016,9,2016-04-17,15:00,7050394,NufbsexKb,Finished,Sofapaka,SOF,138488,Kakamega Homeboyz,KAH,213604,1,1
