TeamName,NameCode,ShortName,TeamID,TeamColors,Position,Played,Won,Drawn,Lost,GF,GA,Points
Gor Mahia FC,GOR,Gor Mahia,134306,"['#008000', '#000000']",1,30,24,6,0,60,12,78
Ulinzi Stars,ULS,Ulinzi Stars,138498,"['#ff0000', '#ffffff']",2,30,17,7,6,41,25,58
Sofapaka,SOF,Sofapaka,138488,"['#ffffff', '#0000ff']",3,30,12,11,7,39,39,47
Bandari FC,BAN,Bandari,138474,"['#3050c6', '#ffffff']",4,30,12,10,8,32,25,46
Tusker,TUS,Tusker,138496,"['#ffdf00', '#000000']",5,30,12,8,10,46,28,44
Muhoroni Youth FC,MUY,Muhoroni Youth,138484,"['#374df5', '#374df5']",6,30,11,11,8,31,36,44
AFC Leopards SC,LDS,Leopards,76433,"['#ffffff', '#0000ff']",7,30,11,8,11,33,30,41
Kenya Rev. Authority,KAU,Kenya Revenue,138480,"['#374df5', '#374df5']",8,30,9,10,11,22,28,37
Mathare United,MAU,Mathare Utd,138482,"['#ffff00', '#006600']",9,30,7,15,8,35,34,36
Sony Sugar,SSU,Sony Sugar,138490,"['#008633', '#ffffff']",10,30,9,8,13,23,26,35
Western Stima FC,WST,Western Stima,138500,"['#ffff00', '#0000ff']",11,30,9,8,13,25,31,35
Thika United,TUN,Thika Utd,138492,"['#374df5', '#374df5']",12,30,10,5,15,31,42,35
Chemelil Sugar,CSU,Chemelil Sugar,138476,"['#ffff00', '#000000']",13,30,6,14,10,23,35,32
Nairobi City Stars FC,NCS,City Stars,138486,"['#273887', '#f74f00']",14,30,6,10,14,25,37,28
Kenya Commercial Bank,KCB,KCB ,138478,"['#00dd00', '#004165']",15,30,6,8,16,34,48,26
Top Fry Nakuru,TFN,Top Fry,138494,"['#374df5', '#374df5']",16,30,4,11,15,34,58,23
