Tournament,Season,Round,Date,StartTime,MatchID,MatchCustomID,MatchStatus,HomeTeamnName,HomeTeamnNameCode,HomeTeamID,AwayTeamName,AwayTeamNameCode,AwayTeamID,HomeScoreFT,AwayScoreFT
Kenyan Premier League,2015,5,2015-03-21,15:00,6706808,JufbsPufb,Finished,Sony Sugar,SSU,138490,Muhoroni Youth FC,MUY,138484,0,0
Kenyan Premier League,2015,5,2015-03-21,15:00,6706802,HufbsRufb,Finished,Thika United,TUN,138492,Mathare United,MAU,138482,1,1
Kenyan Premier League,2015,5,2015-03-21,16:15,6706805,IDFsLufb,Finished,Nairobi City Stars FC,NCS,138486,AFC Leopards SC,LDS,76433,0,0
Kenyan Premier League,2015,5,2015-03-22,14:00,6706806,FufbsWufb,Finished,Tusker,TUS,138496,Kenya Rev. Authority,KAU,138480,0,0
Kenyan Premier League,2015,5,2015-03-22,15:00,6706807,zufbsNufb,Finished,Sofapaka,SOF,138488,Bandari FC,BAN,138474,2,2
Kenyan Premier League,2015,5,2015-03-22,15:00,6706809,Yufbsavfb,Finished,Ulinzi Stars,ULS,138498,Western Stima FC,WST,138500,1,1
Kenyan Premier League,2015,5,2015-03-22,16:15,6706810,gLdbsBufb,Finished,Gor Mahia FC,GOR,134306,Chemelil Sugar,CSU,138476,3,3
Kenyan Premier League,2015,6,2015-04-04,15:00,6716340,BufbsWufb,Finished,Chemelil Sugar,CSU,138476,Tusker,TUS,138496,2,2
Kenyan Premier League,2015,6,2015-04-05,15:00,6716338,IDFsRufb,Finished,AFC Leopards SC,LDS,76433,Thika United,TUN,138492,1,1
Kenyan Premier League,2015,6,2015-04-05,15:00,6716337,HufbsLufb,Finished,Mathare United,MAU,138482,Nairobi City Stars FC,NCS,138486,2,2
Kenyan Premier League,2015,6,2015-04-05,15:00,6716343,FufbsJufb,Finished,Muhoroni Youth FC,MUY,138484,Kenya Rev. Authority,KAU,138480,1,1
Kenyan Premier League,2015,6,2015-04-05,15:00,6716342,PufbsUufb,Finished,Top Fry Nakuru,TFN,138494,Sony Sugar,SSU,138490,1,1
Kenyan Premier League,2015,6,2015-04-05,15:00,6716339,Nufbsavfb,Finished,Western Stima FC,WST,138500,Sofapaka,SOF,138488,3,3
Kenyan Premier League,2015,6,2015-04-06,15:00,6716341,zufbsYufb,Finished,Bandari FC,BAN,138474,Ulinzi Stars,ULS,138498,0,0
Kenyan Premier League,2015,6,2015-04-08,19:00,6716344,gLdbsDufb,Finished,Gor Mahia FC,GOR,134306,Kenya Commercial Bank,KCB,138478,3,3
Kenyan Premier League,2015,7,2015-04-15,14:00,6720596,FufbsHufb,Finished,Kenya Rev. Authority,KAU,138480,Mathare United,MAU,138482,2,2
Kenyan Premier League,2015,7,2015-04-15,16:00,6720602,gLdbsLufb,Finished,Nairobi City Stars FC,NCS,138486,Gor Mahia FC,GOR,134306,0,0
Kenyan Premier League,2015,7,2015-04-15,16:00,6720603,BufbsNufb,Finished,Sofapaka,SOF,138488,Chemelil Sugar,CSU,138476,1,1
Kenyan Premier League,2015,7,2015-04-15,16:00,6720601,Pufbsavfb,Finished,Sony Sugar,SSU,138490,Western Stima FC,WST,138500,0,0
Kenyan Premier League,2015,7,2015-04-15,16:00,6720600,RufbsUufb,Finished,Thika United,TUN,138492,Top Fry Nakuru,TFN,138494,2,2
Kenyan Premier League,2015,7,2015-04-15,16:00,6720597,zufbsWufb,Finished,Tusker,TUS,138496,Bandari FC,BAN,138474,0,0
Kenyan Premier League,2015,7,2015-04-15,16:15,6720599,IDFsDufb,Finished,Kenya Commercial Bank,KCB,138478,AFC Leopards SC,LDS,76433,1,1
Kenyan Premier League,2015,7,2015-04-16,16:00,6720598,JufbsYufb,Finished,Ulinzi Stars,ULS,138498,Muhoroni Youth FC,MUY,138484,3,3
Kenyan Premier League,2015,8,2015-04-18,14:00,6725394,DufbsLufb,Finished,Kenya Commercial Bank,KCB,138478,Nairobi City Stars FC,NCS,138486,1,1
Kenyan Premier League,2015,8,2015-04-18,16:15,6727358,IDFsFufb,Finished,AFC Leopards SC,LDS,76433,Kenya Rev. Authority,KAU,138480,0,0
Kenyan Premier League,2015,8,2015-04-19,12:00,6725395,BufbsRufb,Finished,Chemelil Sugar,CSU,138476,Thika United,TUN,138492,0,0
Kenyan Premier League,2015,8,2015-04-19,15:00,6725397,gLdbsNufb,Finished,Gor Mahia FC,GOR,134306,Sofapaka,SOF,138488,0,0
Kenyan Premier League,2015,8,2015-04-19,15:00,6725396,HufbsPufb,Finished,Mathare United,MAU,138482,Sony Sugar,SSU,138490,1,1
Kenyan Premier League,2015,8,2015-04-19,15:00,6725398,UufbsYufb,Finished,Top Fry Nakuru,TFN,138494,Ulinzi Stars,ULS,138498,1,1
Kenyan Premier League,2015,8,2015-04-19,15:00,6725399,Wufbsavfb,Finished,Western Stima FC,WST,138500,Tusker,TUS,138496,1,1
Kenyan Premier League,2015,8,2015-07-18,15:00,6725400,zufbsJufb,Finished,Muhoroni Youth FC,MUY,138484,Bandari FC,BAN,138474,1,1
Kenyan Premier League,2015,9,2015-04-25,12:45,6725401,BufbsPufb,Finished,Sony Sugar,SSU,138490,Chemelil Sugar,CSU,138476,3,3
Kenyan Premier League,2015,9,2015-04-25,13:00,6725402,Jufbsavfb,Finished,Muhoroni Youth FC,MUY,138484,Western Stima FC,WST,138500,1,1
Kenyan Premier League,2015,9,2015-04-25,15:00,6725403,IDFsWufb,Finished,Tusker,TUS,138496,AFC Leopards SC,LDS,76433,1,1
Kenyan Premier League,2015,9,2015-04-26,15:00,6725406,gLdbsFufb,Finished,Kenya Rev. Authority,KAU,138480,Gor Mahia FC,GOR,134306,0,0
Kenyan Premier League,2015,9,2015-04-26,15:00,6729355,LufbsRufb,Finished,Thika United,TUN,138492,Nairobi City Stars FC,NCS,138486,1,1
Kenyan Premier League,2015,9,2024-09-30,15:42,6728865,zufbsUufb,Canceled,Bandari FC,BAN,138474,Top Fry Nakuru,TFN,138494,-,-
Kenyan Premier League,2015,9,2024-09-30,15:42,6725405,DufbsNufb,Canceled,Sofapaka,SOF,138488,Kenya Commercial Bank,KCB,138478,-,-
Kenyan Premier League,2015,9,2024-09-30,15:42,6725404,HufbsYufb,Canceled,Ulinzi Stars,ULS,138498,Mathare United,MAU,138482,-,-
Kenyan Premier League,2015,9,2015-04-29,15:00,6734264,DufbsNufb,Finished,Sofapaka,SOF,138488,Kenya Commercial Bank,KCB,138478,1,1
Kenyan Premier League,2015,9,2015-05-20,15:00,6734261,zufbsUufb,Finished,Bandari FC,BAN,138474,Top Fry Nakuru,TFN,138494,1,1
Kenyan Premier League,2015,9,2015-05-27,15:00,6734263,HufbsYufb,Finished,Ulinzi Stars,ULS,138498,Mathare United,MAU,138482,2,2
Kenyan Premier League,2015,10,2015-05-01,15:00,6734267,IDFsPufb,Finished,AFC Leopards SC,LDS,76433,Sony Sugar,SSU,138490,5,5
Kenyan Premier League,2015,10,2015-05-02,15:00,6734269,gLdbsYufb,Finished,Gor Mahia FC,GOR,134306,Ulinzi Stars,ULS,138498,2,2
Kenyan Premier League,2015,10,2015-05-02,15:00,6734273,LufbsNufb,Finished,Nairobi City Stars FC,NCS,138486,Sofapaka,SOF,138488,0,0
Kenyan Premier League,2015,10,2015-05-02,15:00,6734268,UufbsWufb,Finished,Top Fry Nakuru,TFN,138494,Tusker,TUS,138496,1,1
Kenyan Premier League,2015,10,2015-05-02,15:00,6734266,zufbsavfb,Finished,Western Stima FC,WST,138500,Bandari FC,BAN,138474,1,1
Kenyan Premier League,2015,10,2015-05-03,14:00,6734270,HufbsJufb,Finished,Mathare United,MAU,138482,Muhoroni Youth FC,MUY,138484,3,3
Kenyan Premier League,2015,10,2015-05-03,15:00,6734272,BufbsFufb,Finished,Chemelil Sugar,CSU,138476,Kenya Rev. Authority,KAU,138480,1,1
Kenyan Premier League,2015,10,2015-05-03,16:15,6734271,DufbsRufb,Finished,Kenya Commercial Bank,KCB,138478,Thika United,TUN,138492,1,1
Kenyan Premier League,2015,11,2015-05-09,13:00,6734274,JufbsLufb,Finished,Muhoroni Youth FC,MUY,138484,Nairobi City Stars FC,NCS,138486,0,0
Kenyan Premier League,2015,11,2015-05-10,15:00,6734276,FufbsUufb,Finished,Kenya Rev. Authority,KAU,138480,Top Fry Nakuru,TFN,138494,2,2
Kenyan Premier League,2015,11,2015-05-10,15:00,6734277,DufbsPufb,Finished,Sony Sugar,SSU,138490,Kenya Commercial Bank,KCB,138478,0,0
Kenyan Premier League,2015,11,2015-05-10,15:00,6734281,gLdbsavfb,Finished,Western Stima FC,WST,138500,Gor Mahia FC,GOR,134306,0,0
Kenyan Premier League,2015,11,2015-05-12,15:00,6734278,IDFszufb,Finished,Bandari FC,BAN,138474,AFC Leopards SC,LDS,76433,1,1
Kenyan Premier League,2015,11,2015-05-12,15:00,6734275,BufbsYufb,Finished,Ulinzi Stars,ULS,138498,Chemelil Sugar,CSU,138476,0,0
Kenyan Premier League,2015,11,2015-05-13,15:00,6734279,HufbsWufb,Finished,Tusker,TUS,138496,Mathare United,MAU,138482,1,1
Kenyan Premier League,2015,11,2015-05-13,16:00,6734280,NufbsRufb,Finished,Thika United,TUN,138492,Sofapaka,SOF,138488,2,2
Kenyan Premier League,2015,12,2015-05-16,13:30,6738317,FufbsLufb,Finished,Nairobi City Stars FC,NCS,138486,Kenya Rev. Authority,KAU,138480,1,1
Kenyan Premier League,2015,12,2015-05-16,15:00,6738310,zufbsBufb,Finished,Chemelil Sugar,CSU,138476,Bandari FC,BAN,138474,1,1
Kenyan Premier League,2015,12,2015-05-16,15:45,6738312,IDFsJufb,Finished,AFC Leopards SC,LDS,76433,Muhoroni Youth FC,MUY,138484,2,2
Kenyan Premier League,2015,12,2015-05-17,13:30,6738313,Hufbsavfb,Finished,Mathare United,MAU,138482,Western Stima FC,WST,138500,2,2
