SKU,START_DATE,END_DATE,DATE_QUALIFIER,DISCONTINUED,BRAND,PRODUCT_GROUP1,PRODUCT_GROUP2,PRODUCT_GROUP3,PRODUCT_GROUP4,PRODUCT_GROUP1_QTY,PRODUCT_GROUP2_QTY,PRODUCT_GROUP3_QTY,PRODUCT_GROUP4_QTY,DEPARTMENT1,ROOM1,ROOM2,ROOM3,ROOM4,ROOM5,ROOM6,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5,CATEGORY6,COLLECTION,FINISH1,FINISH2,FINISH3,MATERIAL,MOTION_TYPE1,MOTION_TYPE2,SECTIONAL,TYPE1,SUBTYPE1A,SUBTYPE1B,TYPE2,SUBTYPE2A,SUBTYPE2B,TYPE3,SUBTYPE3A,SUBTYPE3B,STYLE,SUITE,COUNTRY_OF_ORIGIN,MADE_IN_USA,BED_SIZE1,FEATURES1,TABLE_TYPE,SEAT_TYPE,WIDTH,DEPTH,HEIGHT,LENGTH,INSIDE_WIDTH,INSIDE_DEPTH,INSIDE_HEIGHT,WEIGHT,VOLUME,DIAMETER,ARM_HEIGHT,SEAT_DEPTH,SEAT_HEIGHT,SEAT_WIDTH,HEADBOARD_HEIGHT,FOOTBOARD_HEIGHT,NUMBER_OF_DRAWERS,NUMBER_OF_LEAVES,NUMBER_OF_SHELVES,CARTON_WIDTH,CARTON_DEPTH,CARTON_HEIGHT,CARTON_WEIGHT,CARTON_VOLUME,CARTON_LENGTH,PHOTO1,PHOTO2,PHOTO3,PHOTO4,PHOTO5,PHOTO6,PHOTO7,PHOTO8,PHOTO9,PHOTO10,INFO1,INFO2,INFO3,INFO4,INFO5,DESCRIPTION,PRODUCT_DESCRIPTION,SPECIFICATIONS,CONSTRUCTION,COLLECTION_FEATURES,WARRANTY,ADDITIONAL_INFORMATION,DISCLAIMER,VIEWTYPE,ITEM_URL
OG5150ARG,,,,,Steve Silver,,,,,,,,,,,,,,,,LIVING ROOM,"SOFAS, LOVESEATS, CHAIRS & SECTIONALS",MOTION UPHOLSTERY,MOTION SECTIONALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,39,32,,,,,,,,,,,,,,,,,,,,,,https://stevesilver.com/wp-content/uploads/2021/04/Ogden_ArmlessRecliner.jpg,,,,,,,,,,,,,,,"Ogden Armless Recliner, Power",,,,,,,,,https://stevesilver.com/product/ogden-armless-recliner-power/
OG5150LRG,,,,,Steve Silver,,,,,,,,,,,,,,,,LIVING ROOM,"SOFAS, LOVESEATS, CHAIRS & SECTIONALS",MOTION UPHOLSTERY,MOTION SECTIONALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,39,41,,,,,,,,,,,,,,,,,,,,,,https://stevesilver.com/wp-content/uploads/2021/04/Ogden_LAR.jpg,,,,,,,,,,,,,,,"Ogden LAF Recliner, Power",,,,,,,,,https://stevesilver.com/product/ogden-laf-recliner-power/
OG5150WG,,,,,Steve Silver,,,,,,,,,,,,,,,,LIVING ROOM,"SOFAS, LOVESEATS, CHAIRS & SECTIONALS",MOTION UPHOLSTERY,MOTION SECTIONALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,39,44,,,,,,,,,,,,,,,,,,,,,,https://stevesilver.com/wp-content/uploads/2021/04/Ogden_OG5150ACG_ARG_CG_CHG_LRG_RRG_WG_WS2-copy.jpg,,,,,,,,,,,,,,,Ogden Corner Wedge,,,,,,,,,https://stevesilver.com/product/ogden-corner-wedge/
AR70172ARP,,,,,Steve Silver,,,,,,,,,,,,,,,,LIVING ROOM,"SOFAS, LOVESEATS, CHAIRS & SECTIONALS",MOTION UPHOLSTERY,MOTION SECTIONALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,41,32,,,,,,,,,,,,,,,,,,,,,,https://stevesilver.com/wp-content/uploads/2021/04/Park_City_AR70172ArmlessRecliner.jpg,https://stevesilver.com/wp-content/uploads/2021/04/Park_City_AR70172ACP_ARP_CEP_LRP_RRP_WP_New.jpg,,,,,,,,,,,,,,Park City Armless Dual-Power Recliner,Armless Dual-Power Recliner the that is part of the Park City Reclining Sectional group.,,,,,"Power Headrest,Power Footrest,Extra-wide seats,Control panel in seat,Pumice herringbone fabric",,,https://stevesilver.com/product/park-city-armless-dual-power-recliner/
AR70172RRP,,,,,Steve Silver,,,,,,,,,,,,,,,,LIVING ROOM,"SOFAS, LOVESEATS, CHAIRS & SECTIONALS",MOTION UPHOLSTERY,MOTION SECTIONALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5,41,42,,,,,,,,,,,,,,,,,,,,,,https://stevesilver.com/wp-content/uploads/2021/04/Park_City_AR70172RRP_WS1-copy.jpg,https://stevesilver.com/wp-content/uploads/2021/04/Park_City_AR70172ACP_ARP_CEP_LRP_RRP_WP_New.jpg,,,,,,,,,,,,,,Park City RAF Dual-Power Recliner,Left-Arm Facing Dual-Power Recliner the that is part of the Park City Reclining Sectional group.,,,,,"Power Headrest,Power Footrest,Extra-wide seats,Control panel on outside arm,Gray herringbone fabric",,,https://stevesilver.com/product/park-city-raf-dual-power-recliner/
LZ950LAPR,,,,,Steve Silver,,,,,,,,,,,,,,,,LIVING ROOM,"SOFAS, LOVESEATS, CHAIRS & SECTIONALS",MOTION UPHOLSTERY,MOTION SECTIONALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,41.7,40.9,,,,,,,,,,,,,,,,,,,,,,https://stevesilver.com/wp-content/uploads/2019/08/LZ950LAPR.jpg,,,,,,,,,,,,,,,Plaza Sectional LA Pwr Recliner,Fill the entire room with the reclining comfort of Plaza. This power sectional is large enough to seat all your family and friends with enough power options for everyone to enjoy. Revel with friends in the comfort of the extra wide seating and extra wide arms. The power footrest operates with the touch of a button and the smoked grey fabric looks like suede and fits with many decors.,,,,,"Constructed with polyurethane/polyester fabric blend cover,Styling details include extra wide seat and arm for extra comfort,,Sinuous wire spring construction,High-resiliency foam seating,Power reclining footrest is operated with control panel that features USB recharging station,Six piece set can be configured to fit smaller or very large rooms,Color: smoked grey",,,https://stevesilver.com/product/plaza-sectional-la-pwr-recliner/
LZ950W,,,,,Steve Silver,,,,,,,,,,,,,,,,LIVING ROOM,"SOFAS, LOVESEATS, CHAIRS & SECTIONALS",MOTION UPHOLSTERY,MOTION SECTIONALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,41.7,69.7,,,,,,,,,,,,,,,,,,,,,,https://stevesilver.com/wp-content/uploads/2019/08/LZ950W.jpg,https://stevesilver.com/wp-content/uploads/2019/08/Plaza_ZA950C_DTL2-1.jpg,,,,,,,,,,,,,,Plaza Wedge,Fil the entire room with the reclining comfort of Plaza. This power sectional is large enough to seat all your family and friends with enough power options for everyone to enjoy. Revel with friends in the comfort of the extra wide seating and extra wide arms. The power footrest operates with the touch of a button and the smoked grey fabric looks like suede and fits with many decors.,,,,,"Constructed with polyurethane/polyester fabric blend cover,Styling details include extra wide seat and arm for extra comfort,,Sinuous wire spring construction,High-resiliency foam seating,Power reclining footrest is operated with control panel that features USB recharging station,Six piece set can be configured to fit smaller or very large rooms,Color: smoked grey",,,https://stevesilver.com/product/plaza-wedge/
AR70172LRP,,,,,Steve Silver,,,,,,,,,,,,,,,,LIVING ROOM,"SOFAS, LOVESEATS, CHAIRS & SECTIONALS",MOTION UPHOLSTERY,MOTION SECTIONALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5,41,42,,,,,,,,,,,,,,,,,,,,,,https://stevesilver.com/wp-content/uploads/2021/04/Park_City_LRP_WS1-copy.jpg,https://stevesilver.com/wp-content/uploads/2021/04/Park_City_AR70172ACP_ARP_CEP_LRP_RRP_WP_New.jpg,,,,,,,,,,,,,,Park City LAF Dual-Power Recliner,Left-Arm Facing Dual-Power Recliner the that is part of the Park City Reclining Sectional group.,,,,,"Power Headrest,Power Footrest,Extra-wide seats,Control panel on outside arm,Gray herringbone fabric",,,https://stevesilver.com/product/park-city-laf-dual-power-recliner/
LZ950C,,,,,Steve Silver,,,,,,,,,,,,,,,,LIVING ROOM,"SOFAS, LOVESEATS, CHAIRS & SECTIONALS",MOTION UPHOLSTERY,MOTION SECTIONALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,41.7,13.4,,,,,,,,,,,,,,,,,,,,,,https://stevesilver.com/wp-content/uploads/2019/08/Plaza_ZA950C_DTL1.jpg,,,,,,,,,,,,,,,Plaza Sectional Console,,,,,,,,,https://stevesilver.com/product/plaza-sectional-console/
LZ950APR,,,,,Steve Silver,,,,,,,,,,,,,,,,LIVING ROOM,"SOFAS, LOVESEATS, CHAIRS & SECTIONALS",MOTION UPHOLSTERY,MOTION SECTIONALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,41.7,31.4,,,,,,,,,,,,,,,,,,,,,,https://stevesilver.com/wp-content/uploads/2019/08/LZ950APR.jpg,,,,,,,,,,,,,,,Plaza Sectional Armless Pwr Rcl,Fill the entire room with the reclining comfort of Plaza. This power sectional is large enough to seat all your family and friends with enough power options for everyone to enjoy. Revel with friends in the comfort of the extra wide seating and extra wide arms. The power footrest operates with the touch of a button and the smoked grey fabric looks like suede and fits with many decors.,,,,,"Constructed with polyurethane/polyester fabric blend cover,Styling details include extra wide seat and arm for extra comfort,,Sinuous wire spring construction,High-resiliency foam seating,Power reclining footrest is operated with control panel that features USB recharging station,Six piece set can be configured to fit smaller or very large rooms,Color: smoked grey",,,https://stevesilver.com/product/plaza-sectional-armless-pwr-rcl/
