teamName,nameCode,shortName,teamID,teamcolor,position,Played,Won,Drawn,Lost,GF,GA,Points
Gor Mahia FC,GOR,Gor Mahia,134306,#008000,1,34,21,10,3,48,20,73
Tusker,TUS,Tusker,138496,#ffdf00,2,34,20,5,9,47,26,65
Kenya Police,KEN,Kenya Police,291904,#374df5,3,34,15,12,7,42,28,57
Bandari FC,BAN,Bandari,138474,#3050c6,4,34,14,10,10,31,26,52
AFC Leopards SC,LDS,Leopards,76433,#ffffff,5,34,13,12,9,32,23,51
Nairobi City Stars FC,NCS,City Stars,138486,#273887,6,34,13,11,10,42,39,50
Kariobangi Sharks,KAR,Kariobangi Sharks,246032,#45c283,7,34,12,12,10,44,34,48
Kakamega Homeboyz,KAH,Kakamega Homeboyz,213604,#fee34f,8,34,12,12,10,33,28,48
Posta Rangers,PRA,Posta Rangers,213605,#c71328,9,34,13,9,12,30,31,48
Kenya Commercial Bank,KCB,KCB ,138478,#00dd00,10,34,10,15,9,31,32,45
Bidco United,BID,Bidco United,258735,#ffffff,11,34,11,11,12,36,38,44
Ulinzi Stars,ULS,Ulinzi Stars,138498,#ff0000,12,34,10,9,15,24,28,39
Muranga Seal,MUR,Muranga Seal,332427,#374df5,13,34,9,11,14,28,34,38
Shabana FC,SHA,Shabana FC,332880,#374df5,14,34,10,8,16,38,45,38
FC Talanta,TAL,FC Talanta,310815,#374df5,15,34,8,13,13,35,48,37
Sofapaka,SOF,Sofapaka,138488,#ffffff,16,34,9,9,16,39,53,36
Muhoroni Youth FC,MUH,Muhoroni,257439,#e8de77,17,34,6,14,14,24,35,32
Nzoia United,NZO,Nzoia Utd,246033,#4fbb6f,18,34,5,7,22,24,60,22
