tournament,season,round,matchID,matchCustomID,matchStatus,homeTeamnName,homeTeamnNameCode,homeTeamID,awayTeamName,awayTeamNameCode,awayTeamID,homeScoreFT,awayScoreFT
Kenyan Premier League,23/24,1,11530533,zufbsWufb,Finished,Bandari FC,BAN,138474,Tusker,TUS,138496,0,0
Kenyan Premier League,23/24,1,11530534,gLdbsNufb,Finished,Gor Mahia FC,GOR,134306,Sofapaka,SOF,138488,1,1
Kenyan Premier League,23/24,1,11530536,DufbsexKb,Postponed,Kakamega Homeboyz,KAH,213604,Kenya Commercial Bank,KCB,138478,-,-
Kenyan Premier League,23/24,1,11530537,HvYbseNqc,Finished,Kariobangi Sharks,KAR,246032,Kenya Police,KEN,291904,0,0
Kenyan Premier League,23/24,1,11530535,YufbsIvYb,Finished,Nzoia United,NZO,246033,Ulinzi Stars,ULS,138498,2,2
Kenyan Premier League,23/24,1,11530541,IDFspqzc,Finished,AFC Leopards SC,LDS,76433,FC Talanta,TAL,310815,0,0
Kenyan Premier League,23/24,1,11530538,LufbsOYcc,Canceled,Nairobi City Stars FC,NCS,138486,Muhoroni Youth FC,MUH,257439,-,-
Kenyan Premier League,23/24,1,11583563,LufbsOYcc,Finished,Nairobi City Stars FC,NCS,138486,Muhoroni Youth FC,MUH,257439,0,0
Kenyan Premier League,23/24,1,11530539,fxKbsKzdc,Finished,Posta Rangers,PRA,213605,Bidco United,BID,258735,0,0
Kenyan Premier League,23/24,1,11530540,CYHcsFhIc,Finished,Shabana FC,SHA,332880,Muranga Seal,MUR,332427,0,0
Kenyan Premier League,23/24,1,11690470,DufbsexKb,Finished,Kakamega Homeboyz,KAH,213604,Kenya Commercial Bank,KCB,138478,0,0
Kenyan Premier League,23/24,2,11590386,pqzcsFhIc,Finished,FC Talanta,TAL,310815,Shabana FC,SHA,332880,1,1
Kenyan Premier League,23/24,2,11590383,IDFsDufb,Finished,Kenya Commercial Bank,KCB,138478,AFC Leopards SC,LDS,76433,1,1
Kenyan Premier League,23/24,2,11590379,fxKbseNqc,Finished,Kenya Police,KEN,291904,Posta Rangers,PRA,213605,0,0
Kenyan Premier League,23/24,2,11590385,IvYbsOYcc,Finished,Muhoroni Youth FC,MUH,257439,Nzoia United,NZO,246033,1,1
Kenyan Premier League,23/24,2,11600067,JufbsIvYb,Finished,Muhoroni Youth FC,MUY,138484,Nzoia United,NZO,246033,1,1
Kenyan Premier League,23/24,2,11590387,zufbsNufb,Finished,Sofapaka,SOF,138488,Bandari FC,BAN,138474,0,0
Kenyan Premier League,23/24,2,11590384,exKbsCYHc,Finished,Muranga Seal,MUR,332427,Kakamega Homeboyz,KAH,213604,1,1
Kenyan Premier League,23/24,2,11590382,WufbsHvYb,Finished,Tusker,TUS,138496,Kariobangi Sharks,KAR,246032,1,1
Kenyan Premier League,23/24,2,11590380,gLdbsYufb,Finished,Ulinzi Stars,ULS,138498,Gor Mahia FC,GOR,134306,0,0
Kenyan Premier League,23/24,2,11590381,LufbsKzdc,Finished,Bidco United,BID,258735,Nairobi City Stars FC,NCS,138486,1,1
Kenyan Premier League,23/24,3,11590378,IDFsOYcc,Finished,AFC Leopards SC,LDS,76433,Muhoroni Youth FC,MUH,257439,0,0
Kenyan Premier League,23/24,3,11590375,zufbsYufb,Finished,Bandari FC,BAN,138474,Ulinzi Stars,ULS,138498,1,1
Kenyan Premier League,23/24,3,11590377,WufbsexKb,Finished,Kakamega Homeboyz,KAH,213604,Tusker,TUS,138496,2,2
Kenyan Premier League,23/24,3,11590374,IvYbsKzdc,Finished,Nzoia United,NZO,246033,Bidco United,BID,258735,1,1
Kenyan Premier League,23/24,3,11590376,eNqcsFhIc,Finished,Shabana FC,SHA,332880,Kenya Police,KEN,291904,1,1
Kenyan Premier League,23/24,3,11590371,NufbsfxKb,Finished,Posta Rangers,PRA,213605,Sofapaka,SOF,138488,3,3
Kenyan Premier League,23/24,3,11590370,pqzcsCYHc,Finished,FC Talanta,TAL,310815,Muranga Seal,MUR,332427,1,1
Kenyan Premier League,23/24,3,11590373,gLdbsLufb,Finished,Gor Mahia FC,GOR,134306,Nairobi City Stars FC,NCS,138486,4,4
Kenyan Premier League,23/24,3,11590372,DufbsHvYb,Finished,Kariobangi Sharks,KAR,246032,Kenya Commercial Bank,KCB,138478,2,2
Kenyan Premier League,23/24,4,11590366,Kzdcspqzc,Finished,Bidco United,BID,258735,FC Talanta,TAL,310815,3,3
Kenyan Premier League,23/24,4,11590362,IDFseNqc,Finished,Kenya Police,KEN,291904,AFC Leopards SC,LDS,76433,2,2
Kenyan Premier League,23/24,4,11590364,HvYbsFhIc,Finished,Shabana FC,SHA,332880,Kariobangi Sharks,KAR,246032,0,0
Kenyan Premier League,23/24,4,11590360,WufbsOYcc,Finished,Tusker,TUS,138496,Muhoroni Youth FC,MUH,257439,1,1
Kenyan Premier League,23/24,4,11590368,gLdbsexKb,Finished,Kakamega Homeboyz,KAH,213604,Gor Mahia FC,GOR,134306,1,1
Kenyan Premier League,23/24,4,11590367,zufbsDufb,Finished,Kenya Commercial Bank,KCB,138478,Bandari FC,BAN,138474,0,0
Kenyan Premier League,23/24,4,11590365,fxKbsCYHc,Finished,Muranga Seal,MUR,332427,Posta Rangers,PRA,213605,0,0
Kenyan Premier League,23/24,4,11590363,LufbsIvYb,Finished,Nairobi City Stars FC,NCS,138486,Nzoia United,NZO,246033,2,2
Kenyan Premier League,23/24,4,11590369,NufbsYufb,Finished,Ulinzi Stars,ULS,138498,Sofapaka,SOF,138488,1,1
Kenyan Premier League,23/24,5,11622149,LufbsNufb,Finished,Sofapaka,SOF,138488,Nairobi City Stars FC,NCS,138486,1,1
Kenyan Premier League,23/24,5,11622148,fxKbsHvYb,Finished,Kariobangi Sharks,KAR,246032,Posta Rangers,PRA,213605,0,0
Kenyan Premier League,23/24,5,11622151,KzdcseNqc,Finished,Kenya Police,KEN,291904,Bidco United,BID,258735,2,2
Kenyan Premier League,23/24,5,11622144,IvYbsCYHc,Finished,Nzoia United,NZO,246033,Muranga Seal,MUR,332427,0,0
Kenyan Premier League,23/24,5,11622150,IDFsFhIc,Finished,AFC Leopards SC,LDS,76433,Shabana FC,SHA,332880,1,1
Kenyan Premier League,23/24,5,11622146,zufbsexKb,Finished,Bandari FC,BAN,138474,Kakamega Homeboyz,KAH,213604,0,0
Kenyan Premier League,23/24,5,11622145,Wufbspqzc,Finished,FC Talanta,TAL,310815,Tusker,TUS,138496,0,0
Kenyan Premier League,23/24,5,11622147,gLdbsDufb,Finished,Gor Mahia FC,GOR,134306,Kenya Commercial Bank,KCB,138478,1,1
Kenyan Premier League,23/24,6,11706504,exKbspqzc,Finished,Kakamega Homeboyz,KAH,213604,FC Talanta,TAL,310815,3,3
Kenyan Premier League,23/24,6,11706509,fxKbsIvYb,Finished,Posta Rangers,PRA,213605,Nzoia United,NZO,246033,2,2
Kenyan Premier League,23/24,6,11706511,WufbsFhIc,Finished,Tusker,TUS,138496,Shabana FC,SHA,332880,0,0
Kenyan Premier League,23/24,6,11707103,NufbsCYHc,Finished,Muranga Seal,MUR,332427,Sofapaka,SOF,138488,2,2
Kenyan Premier League,23/24,6,11706493,LufbseNqc,Finished,Nairobi City Stars FC,NCS,138486,Kenya Police,KEN,291904,0,0
Kenyan Premier League,23/24,6,11706502,YufbsHvYb,Finished,Ulinzi Stars,ULS,138498,Kariobangi Sharks,KAR,246032,1,1
Kenyan Premier League,23/24,6,11706507,IDFsgLdb,Finished,AFC Leopards SC,LDS,76433,Gor Mahia FC,GOR,134306,0,0
Kenyan Premier League,23/24,6,11706512,zufbsKzdc,Finished,Bidco United,BID,258735,Bandari FC,BAN,138474,2,2
Kenyan Premier League,23/24,6,11706487,DufbsOYcc,Interrupted,Muhoroni Youth FC,MUH,257439,Kenya Commercial Bank,KCB,138478,0,0
Kenyan Premier League,23/24,7,11674406,fxKbspqzc,Finished,FC Talanta,TAL,310815,Posta Rangers,PRA,213605,3,3
Kenyan Premier League,23/24,7,11674404,NufbseNqc,Finished,Sofapaka,SOF,138488,Kenya Police,KEN,291904,1,1
Kenyan Premier League,23/24,7,11674402,DufbsYufb,Finished,Kenya Commercial Bank,KCB,138478,Ulinzi Stars,ULS,138498,1,1
Kenyan Premier League,23/24,7,11755092,HvYbsOYcc,Finished,Kariobangi Sharks,KAR,246032,Muhoroni Youth FC,MUH,257439,1,1
Kenyan Premier League,23/24,7,11755091,exKbsIvYb,Finished,Nzoia United,NZO,246033,Kakamega Homeboyz,KAH,213604,0,0
Kenyan Premier League,23/24,7,11755090,IDFszufb,Finished,Bandari FC,BAN,138474,AFC Leopards SC,LDS,76433,1,1
Kenyan Premier League,23/24,7,11674405,KzdcsCYHc,Finished,Bidco United,BID,258735,Muranga Seal,MUR,332427,0,0
Kenyan Premier League,23/24,7,11756047,LufbsFhIc,Finished,Shabana FC,SHA,332880,Nairobi City Stars FC,NCS,138486,2,2
