Tournament,Season,Round,Date,StartTime,MatchID,MatchCustomID,MatchStatus,HomeTeamnName,HomeTeamnNameCode,HomeTeamID,AwayTeamName,AwayTeamNameCode,AwayTeamID,HomeScoreFT,AwayScoreFT
Kenyan Premier League,2018,1,2018-02-03,14:00,7685245,YufbsnTid,Finished,Ulinzi Stars,ULS,138498,Zoo F.C.,ZFC,397163,4,4
Kenyan Premier League,2018,1,2018-02-03,15:00,7685247,BufbsWufb,Finished,Chemelil Sugar,CSU,138476,Tusker,TUS,138496,2,2
Kenyan Premier League,2018,1,2018-02-03,15:00,7685248,gLdbsFRid,Finished,Gor Mahia FC,GOR,134306,Dandora Love,DLO,397130,4,4
Kenyan Premier League,2018,1,2018-02-03,15:00,7685251,PufbsOYcc,Finished,Muhoroni Youth FC,MUH,257439,Sony Sugar,SSU,138490,1,1
Kenyan Premier League,2018,1,2018-02-03,15:00,7685246,HvYbsIvYb,Finished,Nzoia United,NZO,246033,Kariobangi Sharks,KAR,246032,0,0
Kenyan Premier League,2018,1,2018-02-03,16:15,7685253,IDFsfxKb,Finished,Posta Rangers,PRA,213605,AFC Leopards SC,LDS,76433,1,1
Kenyan Premier League,2018,1,2018-02-04,15:00,7685249,Hufbsladc,Finished,Mulembe United,MUD,257511,Mathare United,MAU,138482,1,1
Kenyan Premier League,2018,1,2018-02-04,15:00,7685252,zufbsNufb,Finished,Sofapaka,SOF,138488,Bandari FC,BAN,138474,0,0
Kenyan Premier League,2018,1,2018-02-04,15:00,7685250,RufbsexKb,Finished,Thika United,TUN,138492,Kakamega Homeboyz,KAH,213604,0,0
