Tournament,Season,Round,Date,StartTime,MatchID,MatchCustomID,MatchStatus,HomeTeamnName,HomeTeamnNameCode,HomeTeamID,AwayTeamName,AwayTeamNameCode,AwayTeamID,HomeScoreFT,AwayScoreFT
Kenyan Premier League,18/19,1,2018-12-08,15:00,8078960,gLdbszufb,Finished,Bandari FC,BAN,138474,Gor Mahia FC,GOR,134306,2,2
Kenyan Premier League,18/19,1,2018-12-08,15:00,8078959,DufbsexKb,Finished,Kakamega Homeboyz,KAH,213604,Kenya Commercial Bank,KCB,138478,1,1
Kenyan Premier League,18/19,1,2018-12-08,15:00,8078967,BufbsHufb,Finished,Mathare United,MAU,138482,Chemelil Sugar,CSU,138476,2,2
Kenyan Premier League,18/19,1,2018-12-08,15:00,8078961,avfbsfxKb,Finished,Posta Rangers,PRA,213605,Western Stima FC,WST,138500,0,0
Kenyan Premier League,18/19,1,2018-12-09,14:00,8078962,NufbsFRid,Finished,Dandora Love,DLO,397130,Sofapaka,SOF,138488,1,1
Kenyan Premier League,18/19,1,2018-12-09,15:00,8078966,Yufbsladc,Finished,Mulembe United,MUD,257511,Ulinzi Stars,ULS,138498,2,2
Kenyan Premier League,18/19,1,2018-12-09,15:00,8078963,PufbsWufb,Finished,Sony Sugar,SSU,138490,Tusker,TUS,138496,1,1
Kenyan Premier League,18/19,1,2018-12-09,15:00,8078964,IvYbsnTid,Finished,Zoo F.C.,ZFC,397163,Nzoia United,NZO,246033,0,0
Kenyan Premier League,18/19,1,2018-12-09,16:15,8078965,IDFsHvYb,Finished,AFC Leopards SC,LDS,76433,Kariobangi Sharks,KAR,246032,1,1
Kenyan Premier League,18/19,2,2018-12-12,16:00,8081033,gLdbsnTid,Finished,Gor Mahia FC,GOR,134306,Zoo F.C.,ZFC,397163,4,4
Kenyan Premier League,18/19,2,2018-12-15,13:00,8081028,HufbsIvYb,Finished,Nzoia United,NZO,246033,Mathare United,MAU,138482,0,0
Kenyan Premier League,18/19,2,2018-12-15,14:00,8081025,Bufbsladc,Finished,Chemelil Sugar,CSU,138476,Mulembe United,MUD,257511,1,1
Kenyan Premier League,18/19,2,2018-12-15,15:15,8081023,IDFsexKb,Finished,Kakamega Homeboyz,KAH,213604,AFC Leopards SC,LDS,76433,3,3
Kenyan Premier League,18/19,2,2018-12-16,14:00,8081026,fxKbsFRid,Finished,Dandora Love,DLO,397130,Posta Rangers,PRA,213605,1,1
Kenyan Premier League,18/19,2,2018-12-16,15:00,8081032,zufbsNufb,Finished,Sofapaka,SOF,138488,Bandari FC,BAN,138474,1,1
Kenyan Premier League,18/19,2,2018-12-16,15:00,8081027,Wufbsavfb,Finished,Western Stima FC,WST,138500,Tusker,TUS,138496,1,1
Kenyan Premier League,18/19,2,2018-12-16,16:15,8081022,DufbsYufb,Finished,Ulinzi Stars,ULS,138498,Kenya Commercial Bank,KCB,138478,3,3
Kenyan Premier League,18/19,2,2018-12-18,15:00,8081030,PufbsHvYb,Finished,Kariobangi Sharks,KAR,246032,Sony Sugar,SSU,138490,2,2
Kenyan Premier League,18/19,3,2018-12-22,14:00,8087014,zufbsDufb,Finished,Kenya Commercial Bank,KCB,138478,Bandari FC,BAN,138474,1,1
Kenyan Premier League,18/19,3,2018-12-22,15:00,8087012,HufbsYufb,Finished,Mathare United,MAU,138482,Ulinzi Stars,ULS,138498,0,0
Kenyan Premier League,18/19,3,2018-12-22,15:00,8087015,avfbsexKb,Finished,Western Stima FC,WST,138500,Kakamega Homeboyz,KAH,213604,2,2
Kenyan Premier League,18/19,3,2018-12-22,16:15,8087009,IDFsNufb,Finished,Sofapaka,SOF,138488,AFC Leopards SC,LDS,76433,2,2
Kenyan Premier League,18/19,3,2018-12-23,15:00,8087013,Pufbsladc,Finished,Mulembe United,MUD,257511,Sony Sugar,SSU,138490,0,0
Kenyan Premier League,18/19,3,2018-12-23,15:00,8088577,WufbsFRid,Finished,Tusker,TUS,138496,Dandora Love,DLO,397130,3,3
Kenyan Premier League,18/19,3,2018-12-23,15:00,8087016,BufbsnTid,Finished,Zoo F.C.,ZFC,397163,Chemelil Sugar,CSU,138476,2,2
Kenyan Premier League,18/19,3,2018-12-26,14:00,8087010,HvYbsIvYb,Finished,Nzoia United,NZO,246033,Kariobangi Sharks,KAR,246032,0,0
Kenyan Premier League,18/19,3,2024-09-30,15:46,8087011,gLdbsfxKb,Canceled,Gor Mahia FC,GOR,134306,Posta Rangers,PRA,213605,-,-
Kenyan Premier League,18/19,3,2019-01-09,16:00,8090323,gLdbsfxKb,Finished,Gor Mahia FC,GOR,134306,Posta Rangers,PRA,213605,2,2
Kenyan Premier League,18/19,4,2018-12-29,14:00,8090394,DufbsWufb,Finished,Kenya Commercial Bank,KCB,138478,Tusker,TUS,138496,1,1
Kenyan Premier League,18/19,4,2018-12-29,14:00,8090390,HufbsfxKb,Finished,Posta Rangers,PRA,213605,Mathare United,MAU,138482,1,1
Kenyan Premier League,18/19,4,2018-12-29,15:00,8090392,zufbsavfb,Finished,Bandari FC,BAN,138474,Western Stima FC,WST,138500,1,1
Kenyan Premier League,18/19,4,2018-12-29,15:00,8090391,BufbsFRid,Finished,Chemelil Sugar,CSU,138476,Dandora Love,DLO,397130,2,2
Kenyan Premier League,18/19,4,2018-12-29,15:00,8090393,exKbsIvYb,Finished,Kakamega Homeboyz,KAH,213604,Nzoia United,NZO,246033,1,1
Kenyan Premier League,18/19,4,2018-12-29,15:00,8090396,gLdbsHvYb,Finished,Kariobangi Sharks,KAR,246032,Gor Mahia FC,GOR,134306,1,1
Kenyan Premier League,18/19,4,2018-12-29,15:00,8090395,PufbsnTid,Finished,Sony Sugar,SSU,138490,Zoo F.C.,ZFC,397163,2,2
Kenyan Premier League,18/19,4,2018-12-29,16:15,8090389,IDFsladc,Finished,AFC Leopards SC,LDS,76433,Mulembe United,MUD,257511,0,0
Kenyan Premier League,18/19,4,2018-12-29,16:15,8090388,NufbsYufb,Finished,Ulinzi Stars,ULS,138498,Sofapaka,SOF,138488,2,2
Kenyan Premier League,18/19,5,2019-01-02,13:30,8090399,HvYbsFRid,Finished,Dandora Love,DLO,397130,Kariobangi Sharks,KAR,246032,1,1
Kenyan Premier League,18/19,5,2019-01-02,15:00,8090404,DufbsHufb,Finished,Mathare United,MAU,138482,Kenya Commercial Bank,KCB,138478,2,2
Kenyan Premier League,18/19,5,2019-01-02,15:00,8090400,YufbsIvYb,Finished,Nzoia United,NZO,246033,Ulinzi Stars,ULS,138498,2,2
Kenyan Premier League,18/19,5,2019-01-02,15:00,8090397,IDFsfxKb,Finished,Posta Rangers,PRA,213605,AFC Leopards SC,LDS,76433,0,0
Kenyan Premier League,18/19,5,2019-01-02,15:00,8090403,PufbsexKb,Finished,Sony Sugar,SSU,138490,Kakamega Homeboyz,KAH,213604,2,2
Kenyan Premier League,18/19,5,2019-01-02,15:00,8090398,Wufbsladc,Finished,Tusker,TUS,138496,Mulembe United,MUD,257511,2,2
Kenyan Premier League,18/19,5,2019-01-02,15:00,8090401,Nufbsavfb,Finished,Western Stima FC,WST,138500,Sofapaka,SOF,138488,1,1
Kenyan Premier League,18/19,5,2019-01-02,15:00,8090402,zufbsnTid,Finished,Zoo F.C.,ZFC,397163,Bandari FC,BAN,138474,0,0
Kenyan Premier League,18/19,5,2019-01-02,16:00,8090405,gLdbsBufb,Finished,Gor Mahia FC,GOR,134306,Chemelil Sugar,CSU,138476,2,2
Kenyan Premier League,18/19,6,2019-01-05,15:00,8094732,NufbsWufb,Finished,Sofapaka,SOF,138488,Tusker,TUS,138496,2,2
Kenyan Premier League,18/19,6,2019-01-06,13:00,8094727,ladcsFRid,Finished,Mulembe United,MUD,257511,Dandora Love,DLO,397130,1,1
Kenyan Premier League,18/19,6,2019-01-06,14:00,8094734,DufbsHvYb,Finished,Kenya Commercial Bank,KCB,138478,Kariobangi Sharks,KAR,246032,1,1
Kenyan Premier League,18/19,6,2019-01-06,15:00,8094728,zufbsPufb,Finished,Bandari FC,BAN,138474,Sony Sugar,SSU,138490,2,2
Kenyan Premier League,18/19,6,2019-01-06,15:00,8094730,Bufbsavfb,Finished,Chemelil Sugar,CSU,138476,Western Stima FC,WST,138500,0,0
Kenyan Premier League,18/19,6,2019-01-06,15:00,8094729,gLdbsHufb,Finished,Mathare United,MAU,138482,Gor Mahia FC,GOR,134306,1,1
Kenyan Premier League,18/19,6,2019-01-06,15:00,8094733,YufbsnTid,Finished,Ulinzi Stars,ULS,138498,Zoo F.C.,ZFC,397163,0,0
Kenyan Premier League,18/19,6,2019-01-06,15:15,8094735,exKbsfxKb,Finished,Kakamega Homeboyz,KAH,213604,Posta Rangers,PRA,213605,0,0
Kenyan Premier League,18/19,6,2019-01-06,16:15,8094731,IDFsIvYb,Finished,AFC Leopards SC,LDS,76433,Nzoia United,NZO,246033,1,1
Kenyan Premier League,18/19,7,2019-01-12,14:00,8095981,zufbsFRid,Finished,Dandora Love,DLO,397130,Bandari FC,BAN,138474,1,1
Kenyan Premier League,18/19,7,2024-09-30,15:46,8095980,gLdbsIvYb,Canceled,Nzoia United,NZO,246033,Gor Mahia FC,GOR,134306,-,-
Kenyan Premier League,18/19,7,2019-01-12,15:00,8095986,HufbsWufb,Finished,Tusker,TUS,138496,Mathare United,MAU,138482,1,1
Kenyan Premier League,18/19,7,2019-01-12,16:00,8095982,exKbsnTid,Finished,Kakamega Homeboyz,KAH,213604,Zoo F.C.,ZFC,397163,1,1
