teamName,nameCode,shortName,teamID,teamcolor,position,Played,Won,Drawn,Lost,GF,GA,Points
Kenya Commercial Bank,KCB,KCB ,138478,#00dd00,1,3,2,1,0,5,0,7
Kariobangi Sharks,KAR,Kariobangi Sharks,246032,#45c283,2,3,2,1,0,6,2,7
AFC Leopards SC,LDS,Leopards,76433,#ffffff,3,3,2,0,1,5,1,6
Mara Sugar FC,MAR,Mara Sugar FC,815035,#374df5,4,3,2,0,1,4,1,6
Bandari FC,BAN,Bandari,138474,#3050c6,6,2,1,1,0,2,1,4
Tusker,TUS,Tusker,138496,#ffdf00,6,3,1,1,1,5,5,4
Posta Rangers,PRA,Posta Rangers,213605,#c71328,7,3,1,1,1,2,4,4
FC Talanta,TAL,FC Talanta,310815,#374df5,8,1,1,0,0,1,0,3
Muranga Seal,MUR,Muranga Seal,332427,#374df5,10,3,1,0,2,1,5,3
Shabana FC,SHA,Shabana FC,332880,#374df5,10,2,1,2,0,3,3,2
Bidco United,BID,Bidco United,258735,#ffffff,11,3,0,2,1,2,3,2
Kakamega Homeboyz,KAH,Kakamega Homeboyz,213604,#fee34f,12,3,0,2,1,2,5,2
Mathare United,MAU,Mathare Utd,138482,#ffff00,13,3,0,2,1,1,5,2
Ulinzi Stars,ULS,Ulinzi Stars,138498,#ff0000,14,2,0,1,2,2,3,1
Nairobi City Stars FC,NCS,City Stars,138486,#273887,15,2,0,1,1,1,2,1
Sofapaka,SOF,Sofapaka,138488,#ffffff,16,3,0,1,2,1,3,1
Administration Police,APO,Administration Police,310078,#374df5,17,0,0,0,0,0,0,0
Gor Mahia FC,GOR,Gor Mahia,134306,#008000,18,0,0,0,0,0,0,0
