teamName,nameCode,shortName,teamID,teamcolor,position,Played,Won,Drawn,Lost,GF,GA,Points
Gor Mahia FC,GOR,Gor Mahia,134306,#008000,1,23,17,3,3,47,17,54
Kakamega Homeboyz,KAH,Kakamega Homeboyz,213604,#fee34f,2,22,14,5,3,45,24,47
Tusker,TUS,Tusker,138496,#ffdf00,3,22,13,7,2,41,21,46
Ulinzi Stars,ULS,Ulinzi Stars,138498,#ff0000,4,23,11,10,2,32,15,43
Kenya Commercial Bank,KCB,KCB ,138478,#00dd00,5,23,12,6,5,37,20,42
AFC Leopards SC,LDS,Leopards,76433,#ffffff,6,23,11,7,5,30,17,40
Western Stima FC,WST,Western Stima,138500,#ffff00,7,23,9,9,5,34,27,36
Mathare United,MAU,Mathare Utd,138482,#ffff00,8,22,8,9,5,33,26,33
Bandari FC,BAN,Bandari,138474,#3050c6,9,23,9,5,9,29,27,32
Sofapaka,SOF,Sofapaka,138488,#ffffff,10,23,8,7,8,34,29,31
Posta Rangers,PRA,Posta Rangers,213605,#c71328,11,23,7,9,7,28,26,30
Kariobangi Sharks,KAR,Kariobangi Sharks,246032,#45c283,12,22,4,8,10,27,32,20
Muhoroni Youth FC,MUH,Muhoroni,257439,#e8de77,13,23,4,8,11,24,30,20
Zoo F.C.,ZFC,Zoo,397163,#067345,14,22,4,4,14,23,41,16
Nzoia United,NZO,Nzoia Utd,246033,#4fbb6f,15,22,2,7,13,18,39,13
Kisumu All Stars FC,KAS,Kisumu All Stars FC,318563,#61a3fb,16,22,2,3,17,13,50,9
Chemelil Sugar,CSU,Chemelil Sugar,138476,#ffff00,17,23,2,3,18,11,65,9
Sony Sugar,SSU,Sony Sugar,138490,#008633,18,0,0,0,0,0,0,0
