Tournament,Season,Round,Date,StartTime,MatchID,MatchCustomID,MatchStatus,HomeTeamnName,HomeTeamnNameCode,HomeTeamID,AwayTeamName,AwayTeamNameCode,AwayTeamID,HomeScoreFT,AwayScoreFT
Kenyan Premier League,22/23,1,2022-11-19,15:00,10886469,gLdbsIvYb,Finished,Gor Mahia FC,GOR,134306,Nzoia United,NZO,246033,1,1
Kenyan Premier League,22/23,1,2022-11-19,15:00,10886470,WufbsexKb,Finished,Kakamega Homeboyz,KAH,213604,Tusker,TUS,138496,1,1
Kenyan Premier League,22/23,1,2022-11-19,15:00,10886468,IDFsYufb,Finished,Ulinzi Stars,ULS,138498,AFC Leopards SC,LDS,76433,0,0
Kenyan Premier League,22/23,1,2022-11-20,15:00,10886471,zufbsNufb,Finished,Bandari FC,BAN,138474,Sofapaka,SOF,138488,2,2
Kenyan Premier League,22/23,1,2022-11-20,15:00,10886472,HvYbspqzc,Finished,FC Talanta,TAL,310815,Kariobangi Sharks,KAR,246032,2,2
Kenyan Premier League,22/23,1,2022-11-20,15:00,10886473,DufbseNqc,Finished,Kenya Police,KEN,291904,Kenya Commercial Bank,KCB,138478,0,0
Kenyan Premier League,22/23,1,2022-11-20,15:00,10886475,LufbsKzdc,Finished,Nairobi City Stars FC,NCS,138486,Bidco United,BID,258735,0,0
Kenyan Premier League,22/23,1,2023-01-11,15:00,10981232,HufbsfxKb,Finished,Posta Rangers,PRA,213605,Mathare United,MAU,138482,1,1
Kenyan Premier League,22/23,1,2023-01-11,15:00,10981335,OYccsVlIc,Finished,Vihiga Bullets FC,VIH,333095,Muhoroni Youth FC,MUH,257439,1,1
