Product_link,Product_name,Product_price
https://megawines.co.ke/product/chivas-royal-salute-21yrs-1000ml/,CHIVAS ROYAL SALUTE 21YRS 1000ML,26300.00
https://megawines.co.ke/product/chivas-royal-salute-38yrs-500ml/,CHIVAS ROYAL SALUTE 38YRS 500ML,65000.00
https://megawines.co.ke/product/chivas-royal-salute-diamond-700ml/,CHIVAS ROYAL SALUTE DIAMOND 700ML,32000.00
https://megawines.co.ke/product/cinzano-bianco-1000ml/,CINZANO BIANCO 1000ML,1350.00
https://megawines.co.ke/product/cinzano-extra-dry-750ml/,CINZANO EXTRA DRY 750ML,900.00
https://megawines.co.ke/product/clan-macgregor-1000ml/,CLAN MACGREGOR 1000ML,1500.00
https://megawines.co.ke/product/clan-macgregor-750ml/,CLAN MACGREGOR 750ML,1000.00
https://megawines.co.ke/product/claymore-blended-1000ml/,CLAYMORE BLENDED 1000ML,1500.00
https://megawines.co.ke/product/claymore-blended-750ml/,CLAYMORE BLENDED 750ML,650.00
https://megawines.co.ke/product/crown-royal-1000ml/,CROWN ROYAL 1000ML,3500.00
https://megawines.co.ke/product/dewars-12yrs-1000ml/,DEWARS 12YRS 1000ML,7500.00
https://megawines.co.ke/product/dewars-15yrs-750ml/,DEWARS 15YRS 750ML,4500.00
https://megawines.co.ke/product/dewars-18yrs-w-label-750ml/,DEWARS 18YRS W.LABEL 750ML,5500.00
https://megawines.co.ke/product/dewars-white-label-1-14ltr/,DEWARS WHITE LABEL 1.14LTR,2350.00
https://megawines.co.ke/product/dewars-white-label-1000ml/,DEWARS WHITE LABEL 1000ML,3250.00
https://megawines.co.ke/product/dimple-haig-15yrs-1000ml/,DIMPLE HAIG 15YRS 1000ML,6500.00
https://megawines.co.ke/product/eh-taylor-small-batch-750ml/,EH TAYLOR SMALL BATCH 750ML,11500.00
https://megawines.co.ke/product/enso-japanese-whisky-700ml/,ENSO JAPANESE WHISKY 700ML,7650.00
