teamName,nameCode,shortName,teamID,teamcolor,position,Played,Won,Drawn,Lost,GF,GA,Points
Tusker,TUS,Tusker,138496,#ffdf00,1,33,18,9,6,40,17,63
Kakamega Homeboyz,KAH,Kakamega Homeboyz,213604,#fee34f,2,33,17,12,4,51,32,63
Bandari FC,BAN,Bandari,138474,#3050c6,3,33,14,12,7,40,26,54
Gor Mahia FC,GOR,Gor Mahia,134306,#008000,4,32,13,13,6,34,28,52
Nairobi City Stars FC,NCS,City Stars,138486,#273887,5,33,13,10,10,42,34,49
Kenya Commercial Bank,KCB,KCB ,138478,#00dd00,6,33,11,13,9,38,33,46
AFC Leopards SC,LDS,Leopards,76433,#ffffff,7,32,11,13,8,38,34,46
Sofapaka,SOF,Sofapaka,138488,#ffffff,8,32,11,13,8,30,26,46
Kariobangi Sharks,KAR,Kariobangi Sharks,246032,#45c283,9,33,12,8,13,43,36,44
Kenya Police,KEN,Kenya Police,291904,#374df5,10,33,10,14,9,42,35,44
FC Talanta,TAL,FC Talanta,310815,#374df5,11,32,11,11,10,38,39,44
Posta Rangers,PRA,Posta Rangers,213605,#c71328,12,33,11,8,14,41,39,41
Ulinzi Stars,ULS,Ulinzi Stars,138498,#ff0000,13,31,9,13,9,19,22,40
Nzoia United,NZO,Nzoia Utd,246033,#4fbb6f,14,33,6,16,11,33,39,34
Bidco United,BID,Bidco United,258735,#ffffff,15,33,7,12,14,30,40,33
Muhoroni Youth FC,MUH,Muhoroni,257439,#e8de77,16,33,8,7,18,32,50,31
Vihiga Bullets FC,VIH,Vihiga Bullets FC,333095,#374df5,17,32,4,9,19,22,58,21
Mathare United,MAU,Mathare Utd,138482,#ffff00,18,16,2,1,13,11,36,7
