Tournament,Season,Round,Date,StartTime,MatchID,MatchCustomID,MatchStatus,HomeTeamnName,HomeTeamnNameCode,HomeTeamID,AwayTeamName,AwayTeamNameCode,AwayTeamID,HomeScoreFT,AwayScoreFT
Kenyan Premier League,21/22,1,2021-09-25,13:00,9814312,OYccspqzc,Finished,FC Talanta,TAL,310815,Muhoroni Youth FC,MUH,257439,1,1
Kenyan Premier League,21/22,1,2021-09-25,13:00,9811448,gLdbsDufb,Finished,Gor Mahia FC,GOR,134306,Kenya Commercial Bank,KCB,138478,2,2
Kenyan Premier League,21/22,1,2021-09-25,15:00,9814309,zufbsHufb,Finished,Bandari FC,BAN,138474,Mathare United,MAU,138482,3,3
Kenyan Premier League,21/22,1,2021-09-25,15:00,9814311,KzdcsVlIc,Finished,Vihiga Bullets FC,VIH,333095,Bidco United,BID,258735,0,0
Kenyan Premier League,21/22,1,2021-09-25,15:15,9814308,fxKbsHvYb,Finished,Posta Rangers,PRA,213605,Kariobangi Sharks,KAR,246032,0,0
Kenyan Premier League,21/22,1,2021-09-26,13:00,9814313,IDFsWufb,Finished,AFC Leopards SC,LDS,76433,Tusker,TUS,138496,1,1
Kenyan Premier League,21/22,1,2021-09-26,14:00,9838449,exKbseNqc,Finished,Kakamega Homeboyz,KAH,213604,Kenya Police,KEN,291904,1,1
Kenyan Premier League,21/22,1,2021-09-26,15:00,9814310,LufbsNufb,Finished,Sofapaka,SOF,138488,Nairobi City Stars FC,NCS,138486,3,3
Kenyan Premier League,21/22,1,2021-09-26,15:00,9814314,YufbsIvYb,Finished,Ulinzi Stars,ULS,138498,Nzoia United,NZO,246033,1,1
Kenyan Premier League,21/22,1,2022-03-17,15:00,10017273,HufbsfxKb,Finished,Mathare United,MAU,138482,Posta Rangers,PRA,213605,2,2
Kenyan Premier League,21/22,1,2024-09-25,05:41,10017266,LufbsYufb,Canceled,Nairobi City Stars FC,NCS,138486,Ulinzi Stars,ULS,138498,-,-
Kenyan Premier League,21/22,1,2022-04-10,15:00,10239191,LufbsYufb,Finished,Nairobi City Stars FC,NCS,138486,Ulinzi Stars,ULS,138498,0,0
