TeamName,NameCode,ShortName,TeamID,TeamColors,Position,Played,Won,Drawn,Lost,GF,GA,Points
Gor Mahia FC,GOR,Gor Mahia,134306,"['#008000', '#000000']",1,33,22,7,4,51,20,73
Sofapaka,SOF,Sofapaka,138488,"['#ffffff', '#0000ff']",2,33,14,10,9,46,30,52
Posta Rangers,PRA,Posta Rangers,213605,"['#c71328', '#ffffff']",3,33,11,17,5,26,20,50
Tusker,TUS,Tusker,138496,"['#ffdf00', '#000000']",4,33,14,8,11,33,30,50
Kariobangi Sharks,KAR,Kariobangi Sharks,246032,"['#45c283', '#f8d815']",5,34,13,13,8,42,26,52
Kakamega Homeboyz,KAH,Kakamega Homeboyz,213604,"['#fee34f', '#2b924d']",6,33,12,13,8,28,22,49
Ulinzi Stars,ULS,Ulinzi Stars,138498,"['#ff0000', '#ffffff']",7,33,11,12,10,33,29,45
Bandari FC,BAN,Bandari,138474,"['#3050c6', '#ffffff']",8,34,12,7,15,34,33,43
Nzoia United,NZO,Nzoia Utd,246033,"['#4fbb6f', '#ffffff']",9,33,11,10,12,40,39,43
Sony Sugar,SSU,Sony Sugar,138490,"['#008633', '#ffffff']",10,33,10,12,11,29,28,42
AFC Leopards SC,LDS,Leopards,76433,"['#ffffff', '#0000ff']",11,33,11,9,13,22,27,42
Zoo F.C.,ZFC,Zoo,397163,"['#067345', '#fbf504']",12,33,9,13,11,38,46,40
Chemelil Sugar,CSU,Chemelil Sugar,138476,"['#ffff00', '#000000']",13,33,8,15,10,28,33,39
Dandora Love,DLO,Dandora Love,397130,"['#2971b1', '#ffffff']",14,34,10,9,15,33,41,39
Mathare United,MAU,Mathare Utd,138482,"['#ffff00', '#006600']",15,33,8,14,11,30,34,38
Thika United,TUN,Thika Utd,138492,"['#374df5', '#374df5']",16,34,8,14,12,27,36,38
Western Stima FC,WST,Western Stima,138500,"['#ffff00', '#0000ff']",17,33,8,11,14,29,41,35
Muhoroni Youth FC,MUY,Muhoroni Youth,138484,"['#374df5', '#374df5']",18,33,5,10,18,26,60,25
