Tournament,Season,Round,Date,StartTime,MatchID,MatchCustomID,MatchStatus,HomeTeamName,HomeTeamNameCode,HomeTeamID,AwayTeamName,AwayTeamNameCode,AwayTeamID,HomeScoreFT,AwayScoreFT
Kenyan Premier League,2017,4,2017-04-09,14:00,7380738,NufbsWufb,Finished,Sofapaka,SOF,138488,Tusker,TUS,138496,2,2
Kenyan Premier League,2017,4,2017-04-09,15:00,7380737,IDFsBufb,Finished,Chemelil Sugar,CSU,138476,AFC Leopards SC,LDS,76433,2,2
Kenyan Premier League,2017,4,2017-04-09,16:15,7380743,RufbsnTid,Finished,Thika United,TUN,138492,Zoo F.C.,ZFC,397163,1,1
Kenyan Premier League,2017,4,2017-04-09,16:15,7380739,zufbsYufb,Finished,Ulinzi Stars,ULS,138498,Bandari FC,BAN,138474,2,2
Kenyan Premier League,2017,5,2017-04-15,15:00,7389839,gLdbsPufb,Finished,Sony Sugar,SSU,138490,Gor Mahia FC,GOR,134306,1,1
Kenyan Premier League,2017,5,2017-04-15,15:00,7386722,WufbsYufb,Finished,Tusker,TUS,138496,Ulinzi Stars,ULS,138498,1,1
Kenyan Premier League,2017,5,2017-04-16,14:00,7389838,zufbsRufb,Finished,Bandari FC,BAN,138474,Thika United,TUN,138492,3,3
Kenyan Premier League,2017,5,2017-04-16,15:00,7388714,exKbsIvYb,Finished,Kakamega Homeboyz,KAH,213604,Nzoia United,NZO,246033,1,1
Kenyan Premier League,2017,5,2017-04-16,15:00,7389623,Bufbsavfb,Finished,Western Stima FC,WST,138500,Chemelil Sugar,CSU,138476,0,0
Kenyan Premier League,2017,5,2017-04-16,15:00,7389718,NufbsnTid,Finished,Zoo F.C.,ZFC,397163,Sofapaka,SOF,138488,0,0
Kenyan Premier League,2017,5,2017-04-16,16:15,7386609,IDFsJufb,Finished,AFC Leopards SC,LDS,76433,Muhoroni Youth FC,MUY,138484,1,1
Kenyan Premier League,2017,5,2017-04-17,14:00,7389084,HvYbsFRid,Finished,Kariobangi Sharks,KAR,246032,Dandora Love,DLO,397130,1,1
Kenyan Premier League,2017,5,2017-04-17,16:15,7389085,HufbsfxKb,Finished,Mathare United,MAU,138482,Posta Rangers,PRA,213605,0,0
