SKU,START_DATE,END_DATE,DATE_QUALIFIER,DISCONTINUED,BRAND,PRODUCT_GROUP1,PRODUCT_GROUP2,PRODUCT_GROUP3,PRODUCT_GROUP4,PRODUCT_GROUP1_QTY,PRODUCT_GROUP2_QTY,PRODUCT_GROUP3_QTY,PRODUCT_GROUP4_QTY,DEPARTMENT1,ROOM1,ROOM2,ROOM3,ROOM4,ROOM5,ROOM6,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5,CATEGORY6,COLLECTION,FINISH1,FINISH2,FINISH3,MATERIAL,MOTION_TYPE1,MOTION_TYPE2,SECTIONAL,TYPE1,SUBTYPE1A,SUBTYPE1B,TYPE2,SUBTYPE2A,SUBTYPE2B,TYPE3,SUBTYPE3A,SUBTYPE3B,STYLE,SUITE,COUNTRY_OF_ORIGIN,MADE_IN_USA,BED_SIZE1,FEATURES1,TABLE_TYPE,SEAT_TYPE,WIDTH,DEPTH,HEIGHT,LENGTH,INSIDE_WIDTH,INSIDE_DEPTH,INSIDE_HEIGHT,WEIGHT,VOLUME,DIAMETER,ARM_HEIGHT,SEAT_DEPTH,SEAT_HEIGHT,SEAT_WIDTH,HEADBOARD_HEIGHT,FOOTBOARD_HEIGHT,NUMBER_OF_DRAWERS,NUMBER_OF_LEAVES,NUMBER_OF_SHELVES,CARTON_WIDTH,CARTON_DEPTH,CARTON_HEIGHT,CARTON_WEIGHT,CARTON_VOLUME,CARTON_LENGTH,PHOTO1,PHOTO2,PHOTO3,PHOTO4,PHOTO5,PHOTO6,PHOTO7,PHOTO8,PHOTO9,PHOTO10,INFO1,INFO2,INFO3,INFO4,INFO5,DESCRIPTION,PRODUCT_DESCRIPTION,SPECIFICATIONS,CONSTRUCTION,COLLECTION_FEATURES,WARRANTY,ADDITIONAL_INFORMATION,DISCLAIMER,VIEWTYPE,ITEM_URL
,,,,,,,,,,,,,,,,,,,,,Dining Collections,,,,,,Dining Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mavinfurniture.com/wp-content/uploads/2022/08/mavin-chairs-Marque-beauty-06.jpg,https://www.mavinfurniture.com/wp-content/uploads/MV_DiningRoom_Dutton_view02.webp,https://www.mavinfurniture.com/wp-content/uploads/MV_DiningRoom_Dutton_view03.webp,https://www.mavinfurniture.com/wp-content/uploads/Zayn-Sideboard_Qt-SawOak_400Belair_Angle.webp,https://www.mavinfurniture.com/wp-content/uploads/Zayn-Sideboard_Qt-SawOak_400Belair_Front.webp,,,,,,,,,,,Zayne,,,,,,,,,https://www.mavinfurniture.com/products/cases/zayne/
,,,,,,,,,,,,,,,,,,,,,Dining Collections,,,,,,Dining Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mavinfurniture.com/wp-content/uploads/42x72_WORMY_MAPLE_CONCAVE_WS-2.jpg,https://www.mavinfurniture.com/wp-content/uploads/2022/08/mavin-chairs-Weston-beauty-12.jpg,https://www.mavinfurniture.com/wp-content/uploads/2022/08/castlebarcropped_91172CASTLEBAR_SERVER_SILO_HO_hi-1.jpg,https://www.mavinfurniture.com/wp-content/uploads/2022/08/castlebar92186CASTLEBAR_SERVER_SILO_ALT_hi.jpg,,,,,,,,,,,,Castlebar,,,,,,,,,https://www.mavinfurniture.com/products/cases/castlebar/
,,,,,,,,,,,,,,,,,,,,,Occasional Collection,,,,,,Occasional Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mavinfurniture.com/wp-content/uploads/BARLEY_GROUP_SHOT.jpg,https://www.mavinfurniture.com/wp-content/uploads/42_BARLEY_RECT_COFFEE_TABLE_SILO_HO.jpg,https://www.mavinfurniture.com/wp-content/uploads/42_BARLEY_RECT_COFFEE_TABLE_SILO_ALT.jpg,https://www.mavinfurniture.com/wp-content/uploads/BARLEY_ROUND_COFFEE_TABLE_SILO_HO.jpg,https://www.mavinfurniture.com/wp-content/uploads/BARLEY_ROUND_COFFEE_TABLE_SILO_ALT.jpg,https://www.mavinfurniture.com/wp-content/uploads/24_SQUARE_COFFEE_TABLE_SILO_HO.jpg,https://www.mavinfurniture.com/wp-content/uploads/24_SQUARE_COFFEE_TABLE_SILO_ALT.jpg,https://www.mavinfurniture.com/wp-content/uploads/24_ROUND_END_TABLE_SILO_HO.jpg,https://www.mavinfurniture.com/wp-content/uploads/24_ROUND_END_TABLE_SILO_ALT.jpg,https://www.mavinfurniture.com/wp-content/uploads/60-X-18_SOFA_TABLE_SILO_HO.jpg,,,,,,Barley Occasionals,,,,,,,,,https://www.mavinfurniture.com/products/tables/barley/
,,,,,,,,,,,,,,,,,,,,,Bedroom Collections,,,,,,Bedroom Collections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mavinfurniture.com/wp-content/uploads/2022/07/charleston-archedpanel.jpg,https://www.mavinfurniture.com/wp-content/uploads/2022/08/16432CHA_KING_SILO_HO_hi.jpg,https://www.mavinfurniture.com/wp-content/uploads/2022/08/7502CHA_KING_SILO_3_4_hi.jpg,https://www.mavinfurniture.com/wp-content/uploads/2022/08/56127CHA_DR6_MIR5_SILO_HO_hi.jpg,https://www.mavinfurniture.com/wp-content/uploads/2022/08/75770CHA_DR6_MIR5_SILO_3-4_hi.jpg,https://www.mavinfurniture.com/wp-content/uploads/2022/08/132765CHA_CHIFFEROBE2_SILO_HO_hi.jpg,https://www.mavinfurniture.com/wp-content/uploads/2022/08/14273CHA_CHIFFEROBE2_SILO_3-4_hi.jpg,https://www.mavinfurniture.com/wp-content/uploads/2022/08/122996Charlelston_Queen_Bedroom_RS_hi.jpg,https://www.mavinfurniture.com/wp-content/uploads/2022/08/116401CHA_NIGHTSTAND5_SILO_HO_hi.jpg,https://www.mavinfurniture.com/wp-content/uploads/2022/08/77318CHA_NIGHTSTAND5_SILO_3-4_hi.jpg,,,,,,Adrienne,,,,,,"Elegant southern living is showcased in this modern farmhouse collection. Ornate edges with intricate craftsmanship welcome a charm all of its own with inset slatted panels and strong lines. Available in a variety of wood species and finishes, each piece is crafted by skilled artisans to exact specifications. Coordinating nightstands, dressers, mirrors and chests are also available.",,,https://www.mavinfurniture.com/products/bedrooms/charleston/
,,,,,,,,,,,,,,,,,,,,,Bedroom Collections,,,,,,Bedroom Collections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mavinfurniture.com/wp-content/uploads/KINGSPORT_K_SLEIGH_BEDROOM_RS.jpg,https://www.mavinfurniture.com/wp-content/uploads/KINGSPORT_K_SLEIGH_BEDROOM_WS_1.jpg,https://www.mavinfurniture.com/wp-content/uploads/KINGSPORT_K_SLEIGH_BEDROOM_DETAILS_5.jpg,https://www.mavinfurniture.com/wp-content/uploads/KINGSPORT_K_SLEIGH_BEDROOM_DETAILS_4.jpg,https://www.mavinfurniture.com/wp-content/uploads/KINGSPORT_K_SLEIGH_BEDROOM_DETAILS_3.jpg,https://www.mavinfurniture.com/wp-content/uploads/KINGSPORT_K_SLEIGH_BEDROOM_DETAILS_2.jpg,https://www.mavinfurniture.com/wp-content/uploads/KINGSPORT_K_SLEIGH_BEDROOM_DETAILS_1.jpg,https://www.mavinfurniture.com/wp-content/uploads/KINGSPORT_K_SLEIGH_BEDROOM_Chest_WS_.jpg,https://www.mavinfurniture.com/wp-content/uploads/KINGSPORT_K_SLEIGH_BED_SILO_HO.jpg,https://www.mavinfurniture.com/wp-content/uploads/KINGSPORT_K_SLEIGH_BED_SILO_ALT.jpg,,,,,,Adrienne,,,,,,"The Kingsport collection offers refined lines and curve appeal for your style conscious and creative tastes. Our panel bed design radiates strength and elegance in any choice of stain. While the upholstered bed combines the beauty of solid wood with subtle curves and rich fabrics. Coordinating nightstands, dressers, mirrors and chests are also available to complement either bed design choice.",,,https://www.mavinfurniture.com/products/bedrooms/kingsport/
,,,,,,,,,,,,,,,,,,,,,Occasional Collection,,,,,,Occasional Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mavinfurniture.com/wp-content/uploads/FRISCO_TABLE_GROUP_SHOT.jpg,https://www.mavinfurniture.com/wp-content/uploads/54X30_RECT_FRISCO_COFFEE_TABLE_RS_CONV.jpg,https://www.mavinfurniture.com/wp-content/uploads/42%EF%80%A0SQ_FRISCO_COFFFEE_TABLE_RS.jpg,https://www.mavinfurniture.com/wp-content/uploads/36%EF%80%A0SQ_FRISCO_COFFFEE_TABLE_RS.jpg,https://www.mavinfurniture.com/wp-content/uploads/54X30_RECT_FRISCO_COFFEE_TABLE_SILO_HO.jpg,https://www.mavinfurniture.com/wp-content/uploads/54X30_RECT_FRISCO_COFFEE_TABLE_SILO_ALT.jpg,https://www.mavinfurniture.com/wp-content/uploads/42_SQ_FRISCO_COFFEE_TABLE_SILO_HO.jpg,https://www.mavinfurniture.com/wp-content/uploads/42_SQ_FRISCO_COFFEE_TABLE_SILO_ALT.jpg,https://www.mavinfurniture.com/wp-content/uploads/36_SQ_FRISCO_COFFFEE_TABLE_SILO_HO.jpg,https://www.mavinfurniture.com/wp-content/uploads/36_SQ_FRISCO_COFFFEE_TABLE_SILO_ALT.jpg,,,,,,Frisco Occasionals,,,,,,,,,https://www.mavinfurniture.com/products/tables/frisco/
,,,,,,,,,,,,,,,,,,,,,Occasional Collection,,,,,,Occasional Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mavinfurniture.com/wp-content/uploads/ATWOOD_GROUP_SHOT-drawers.jpg,https://www.mavinfurniture.com/wp-content/uploads/ATWOOD_TABLE_GROUP_SHOT.jpg,https://www.mavinfurniture.com/wp-content/uploads/ATWOOD_TABLES_WS-2.jpg,https://www.mavinfurniture.com/wp-content/uploads/22X24_ATWOOD_END_TABLE_SILO_HO.jpg,https://www.mavinfurniture.com/wp-content/uploads/22X24_ATWOOD_END_TABLE_SILO_ALT.jpg,https://www.mavinfurniture.com/wp-content/uploads/48X24_REC_ATWOOD_COFFEE-_TABLE_SILO_HO.jpg,https://www.mavinfurniture.com/wp-content/uploads/48X24_REC_ATWOOD_COFFEE-_TABLE_SILO_ALT.jpg,https://www.mavinfurniture.com/wp-content/uploads/Atwood-Chairside-Table_Wormy-Maple_406Powder_Angle.jpg,https://www.mavinfurniture.com/wp-content/uploads/Atwood-Chairside-Table_Wormy-Maple_406Powder_Front.jpg,https://www.mavinfurniture.com/wp-content/uploads/Atwood-Sofa-Table_Wormy-Maple_406Powder_Angle.jpg,,,,,,Atwood Occasionals,,,,,,,,,https://www.mavinfurniture.com/products/tables/atwood/
,,,,,,,,,,,,,,,,,,,,,Occasional Collection,,,,,,Occasional Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mavinfurniture.com/wp-content/uploads/mirror-studio-marion-feat.jpg,https://www.mavinfurniture.com/wp-content/uploads/mirror-studio-james-feat.jpg,https://www.mavinfurniture.com/wp-content/uploads/mirror-studio-james-detail.jpg,https://www.mavinfurniture.com/wp-content/uploads/mirror-studio-marion-detail.jpg,https://www.mavinfurniture.com/wp-content/uploads/MV_Bedroom_SouthPort_view05.jpg,https://www.mavinfurniture.com/wp-content/uploads/taylor-mirror2.jpg,https://www.mavinfurniture.com/wp-content/uploads/taylor-mirror.jpg,https://www.mavinfurniture.com/wp-content/uploads/th-taylor-mirror-iso.jpg,https://www.mavinfurniture.com/wp-content/uploads/MV_Bedroom_SouthPort_view01.jpg,https://www.mavinfurniture.com/wp-content/uploads/MV_Bedroom_SouthPort_view02.jpg,,,,,,Occasional Collection: Mirrors,,,,,,"Each mirror frame is made from your choice of solid wood, and each can be finished in your choice of paint or stain to perfectly reflect and complement your other interior furnishings.",,,https://www.mavinfurniture.com/products/tables/mirrors/
,,,,,,,,,,,,,,,,,,,,,Bedroom Collections,,,,,,Bedroom Collections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mavinfurniture.com/wp-content/uploads/2022/08/Bartletts-Island-King-Arched-Panel-Bed-group.jpg,https://www.mavinfurniture.com/wp-content/uploads/2022/08/130845BartlettsIslandKingArchedPANEL-BED-HighfbSILO-hi.jpg,https://www.mavinfurniture.com/wp-content/uploads/2022/08/86568BartlettsIslandKingArchedPANELBEDHighFbSILO-ALT-hi.jpg,https://www.mavinfurniture.com/wp-content/uploads/2022/08/102900BartlettsIslandDRESSER6-MIRROR5-SILO-ALT-hi.jpg,https://www.mavinfurniture.com/wp-content/uploads/2022/08/46479BartlettsIslandDRESSER6-MIRROR5-SILO-hi.jpg,https://www.mavinfurniture.com/wp-content/uploads/2022/08/22476BartlettsIslandNIGHTSTAND4-SILO-hi.jpg,https://www.mavinfurniture.com/wp-content/uploads/2022/08/23881BartlettsIslandNIGHTSTAND4-SILO-ALT-hi.jpg,https://www.mavinfurniture.com/wp-content/uploads/2022/08/Bartletts-Island-Queen-Panel-Bed-group-edit.jpg,https://www.mavinfurniture.com/wp-content/uploads/2022/08/56966BartlettsIslandQueenPANEL-BEDlowfbHO-SILO-hi.jpg,https://www.mavinfurniture.com/wp-content/uploads/2022/08/26781BartlettsIslandQueenPANEL-BEDlowfbSILO-hi.jpg,,,,,,Adrienne,,,,,,"A lush rolling island known for its relaxed style of luxurious-simplicity, beauty and elegance inspires this collection’s look. The panel bed, based on early 1800s style, features generous, beautifully carved posts and a graceful fireplace mantel top. A unique, curved crown and large raised panels complete the design. The arched panel bed is based upon the arched entryway into the original Bartlett Mansion. The towering 72-inch headboard features a gracefully arched mantel, flanked by Roman posts and raised panels. Both bed designs and coordinating pieces are available in a variety of wood species and finishes.",,,https://www.mavinfurniture.com/products/bedrooms/bartletts-island/
,,,,,,,,,,,,,,,,,,,,,Dining Collections,,,,,,Dining Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mavinfurniture.com/wp-content/uploads/PLANK_TABLE_w-BREAD-BOARD_WS3.jpg,https://www.mavinfurniture.com/wp-content/uploads/2022/08/hampshireHampshire-Buffet-1.jpg,,,,,,,,,,,,,,Hampshire,,,,,,,,,https://www.mavinfurniture.com/products/cases/hampshire/
