TeamName,NameCode,ShortName,TeamID,TeamColors,Position,Played,Won,Drawn,Lost,GF,GA,Points
Tusker,TUS,Tusker,138496,"['#ffdf00', '#000000']",1,32,19,8,5,52,26,65
Kenya Commercial Bank,KCB,KCB ,138478,"['#00dd00', '#004165']",2,32,18,8,6,44,23,62
Bandari FC,BAN,Bandari,138474,"['#3050c6', '#ffffff']",3,32,14,11,7,47,37,53
AFC Leopards SC,LDS,Leopards,76433,"['#ffffff', '#0000ff']",4,31,15,6,10,39,31,48
Kariobangi Sharks,KAR,Kariobangi Sharks,246032,"['#45c283', '#f8d815']",5,32,14,6,12,45,42,48
Kakamega Homeboyz,KAH,Kakamega Homeboyz,213604,"['#fee34f', '#2b924d']",6,32,14,4,14,45,39,46
Gor Mahia FC,GOR,Gor Mahia,134306,"['#008000', '#000000']",7,31,14,6,11,34,29,45
Nairobi City Stars FC,NCS,City Stars,138486,"['#273887', '#f74f00']",8,32,12,9,11,34,30,45
Muhoroni Youth FC,MUH,Muhoroni,257439,"['#e8de77', '#000000']",9,32,12,9,11,30,33,45
Ulinzi Stars,ULS,Ulinzi Stars,138498,"['#ff0000', '#ffffff']",10,32,11,11,10,29,29,44
Bidco United,BID,Bidco United,258735,"['#ffffff', '#4ba7df']",11,32,10,14,8,28,28,44
Sofapaka,SOF,Sofapaka,138488,"['#ffffff', '#0000ff']",12,32,9,11,12,34,37,38
Posta Rangers,PRA,Posta Rangers,213605,"['#c71328', '#ffffff']",13,32,7,15,10,25,33,36
Nzoia United,NZO,Nzoia Utd,246033,"['#4fbb6f', '#ffffff']",14,32,7,12,13,33,38,33
Mathare United,MAU,Mathare Utd,138482,"['#ffff00', '#006600']",15,32,8,6,18,33,47,30
Mulembe United,MUD,Mulembe Utd,257511,"['#00aa00', '#ffff00']",16,32,6,8,18,20,43,26
Western Stima FC,WST,Western Stima,138500,"['#ffff00', '#0000ff']",17,32,4,10,18,31,58,22
