SKU,START_DATE,END_DATE,DATE_QUALIFIER,DISCONTINUED,BRAND,PRODUCT_GROUP1,PRODUCT_GROUP2,PRODUCT_GROUP3,PRODUCT_GROUP4,PRODUCT_GROUP1_QTY,PRODUCT_GROUP2_QTY,PRODUCT_GROUP3_QTY,PRODUCT_GROUP4_QTY,DEPARTMENT1,ROOM1,ROOM2,ROOM3,ROOM4,ROOM5,ROOM6,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5,CATEGORY6,COLLECTION,FINISH1,FINISH2,FINISH3,MATERIAL,MOTION_TYPE1,MOTION_TYPE2,SECTIONAL,TYPE1,SUBTYPE1A,SUBTYPE1B,TYPE2,SUBTYPE2A,SUBTYPE2B,TYPE3,SUBTYPE3A,SUBTYPE3B,STYLE,SUITE,COUNTRY_OF_ORIGIN,MADE_IN_USA,BED_SIZE1,FEATURES1,TABLE_TYPE,SEAT_TYPE,WIDTH,DEPTH,HEIGHT,LENGTH,INSIDE_WIDTH,INSIDE_DEPTH,INSIDE_HEIGHT,WEIGHT,VOLUME,DIAMETER,ARM_HEIGHT,SEAT_DEPTH,SEAT_HEIGHT,SEAT_WIDTH,HEADBOARD_HEIGHT,FOOTBOARD_HEIGHT,NUMBER_OF_DRAWERS,NUMBER_OF_LEAVES,NUMBER_OF_SHELVES,CARTON_WIDTH,CARTON_DEPTH,CARTON_HEIGHT,CARTON_WEIGHT,CARTON_VOLUME,CARTON_LENGTH,PHOTO1,PHOTO2,PHOTO3,PHOTO4,PHOTO5,PHOTO6,PHOTO7,PHOTO8,PHOTO9,PHOTO10,INFO1,INFO2,INFO3,INFO4,INFO5,DESCRIPTION,PRODUCT_DESCRIPTION,SPECIFICATIONS,CONSTRUCTION,COLLECTION_FEATURES,WARRANTY,ADDITIONAL_INFORMATION,DISCLAIMER,VIEWTYPE,ITEM_URL
2021-O,,,,,,,,,,,,,,,,,,,,,RECLINERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,18,18,,,,,,,,,,18,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/2021-O_Alexis_KayAco_MD_0420_HR.jpg,,,,,,,,,,,,,,,ALEXIS OTTOMAN,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=2021-O
1006,,,,,,,,,,,,,,,,,,,,,RECLINERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,38.75,42.5,,21,21,,,,,25,,20,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/1006_Alexander_MT_HR.jpg,,,,,,,,,,,,,,,ALEXANDER WING CHAIR RECLINER,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=1006
1023,,,,,,,,,,,,,,,,,,,,,RECLINERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,39,41,,21,19,,,,,25,,20,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/1023_Addison_MT_HR.jpg,,,,,,,,,,,,,,,ADDISON BUSTLEBACK BALL & CLAW RECLINER,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=1023
6557-1,,,,,,,,,,,,,,,,,,,,,STATIONARY LOUNGE CHAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,37.5,42,,21.5,20,,,,,24.5,,19.5,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/6557-1_Neville_CowFaw_Chestnut_0419_HR.jpg,,,,,,,,,,,,,,,NEVILLE CHAIR,,,,,,"Shown with ""TTT"" nail. Standard with ""A"" nail.; Photographed in Cowen Fawn with Chesnut finish.",,,https://www.hancockandmoore.com/Products/Detail?SKU=6557-1
6807-1,,,,,,,,,,,,,,,,,,,,,STATIONARY LOUNGE CHAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,40.5,40,,25,25,,,,,24.5,,20.75,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/6807-1_Myles_FinMah_Espresso_0422_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/6807-O_Myles_FinMah_Espresso_0422_HR.jpg,,,,,,,,,,,,,,MYLES CHAIR,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=6807-1
2021-PR,,,,,,,,,,,,,,,,,,,,,RECLINERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,41,38.5,,21,21,,,,,25.5,,20,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/2021-PR_Alexis_KayAco_MD_0420_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/2021-PR_Alexis_KayAco_MD_0420_OPEN_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/2021-PR_Alexis_KayAco_MD_0420_BK_HR.jpg,,,,,,,,,,,,,ALEXIS POWER TILT BACK CHAIR,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=2021-PR
1296,,,,,,,,,,,,,,,,,,,,,STATIONARY LOUNGE CHAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,37,32.5,,18,22,,,,,24,,21,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/1295_1296_39876.jpg,,,,,,,,,,,,,,,MEADOWS CHAIR,,,,,,Shown with 1295 Meadows Chair.,,,https://www.hancockandmoore.com/Products/Detail?SKU=1296
NC119,,,,,,,,,,,,,,,,,,,,,STATIONARY LOUNGE CHAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,34,35,,18.5,20.5,,,,,25.5,,20.5,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/3-11-2016_8-14-55_AM_1_HR.jpg,,,,,,,,,,,,,,,MAYFAIR CHAIR,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=NC119
MD01,,,,,,,,,,,,,,,,,,,,,STATIONARY LOUNGE CHAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,41,34,,24.5,21,,,,,23,,19.5,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/MD01-BLSOBS_Milan_NewWhi_Java_1020_HR.jpg,,,,,,,,,,,,,,,MILAN CHAIR,,,,,,Shown with Square Panel Arm and Block Leg.  Optional Box Stitching as shown at an upcharge.,,,https://www.hancockandmoore.com/Products/Detail?SKU=MD01
5533,,,,,,,,,,,,,,,,,,,,,STATIONARY LOUNGE CHAIRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,39.25,41.25,,23.5,19.25,,,,,24,,18.75,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/8-19-2016_12-28-12_PM_3_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/5533_Mood_SO1_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/5533_Mood_SO2_HR.jpg,,,,,,,,,,,,,MOOD CHAIR WITH WOODEN ARM CAPS,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=5533
