SKU,START_DATE,END_DATE,DATE_QUALIFIER,DISCONTINUED,BRAND,PRODUCT_GROUP1,PRODUCT_GROUP2,PRODUCT_GROUP3,PRODUCT_GROUP4,PRODUCT_GROUP1_QTY,PRODUCT_GROUP2_QTY,PRODUCT_GROUP3_QTY,PRODUCT_GROUP4_QTY,DEPARTMENT1,ROOM1,ROOM2,ROOM3,ROOM4,ROOM5,ROOM6,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5,CATEGORY6,COLLECTION,FINISH1,FINISH2,FINISH3,MATERIAL,MOTION_TYPE1,MOTION_TYPE2,SECTIONAL,TYPE1,SUBTYPE1A,SUBTYPE1B,TYPE2,SUBTYPE2A,SUBTYPE2B,TYPE3,SUBTYPE3A,SUBTYPE3B,STYLE,SUITE,COUNTRY_OF_ORIGIN,MADE_IN_USA,BED_SIZE1,FEATURES1,TABLE_TYPE,SEAT_TYPE,WIDTH,DEPTH,HEIGHT,LENGTH,INSIDE_WIDTH,INSIDE_DEPTH,INSIDE_HEIGHT,WEIGHT,VOLUME,DIAMETER,ARM_HEIGHT,SEAT_DEPTH,SEAT_HEIGHT,SEAT_WIDTH,HEADBOARD_HEIGHT,FOOTBOARD_HEIGHT,NUMBER_OF_DRAWERS,NUMBER_OF_LEAVES,NUMBER_OF_SHELVES,CARTON_WIDTH,CARTON_DEPTH,CARTON_HEIGHT,CARTON_WEIGHT,CARTON_VOLUME,CARTON_LENGTH,PHOTO1,PHOTO2,PHOTO3,PHOTO4,PHOTO5,PHOTO6,PHOTO7,PHOTO8,PHOTO9,PHOTO10,INFO1,INFO2,INFO3,INFO4,INFO5,DESCRIPTION,PRODUCT_DESCRIPTION,SPECIFICATIONS,CONSTRUCTION,COLLECTION_FEATURES,WARRANTY,ADDITIONAL_INFORMATION,DISCLAIMER,VIEWTYPE,ITEM_URL
NC303CLRAF,,,,,,,,,,,,,,,,,,,,,Sectionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,70,35,,26.5,51.25,,,,,23,,20,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/NC303CLRAF_York_SE_HR.jpg,,,,,,,,,,,,,,,YORK RIGHT ARM FACING CHAISE LOUNGE,,,,,,Shown with NC303LAF York Left Arm Facing Sofa.,,,https://www.hancockandmoore.com/Products/Detail?SKU=NC303CLRAF
NC203RAC,,,,,,,,,,,,,,,,,,,,,No Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,42,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YORK RIGHT ARM FACING CORNER LVST,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=NC203RAC
NC303LAF,,,,,,,,,,,,,,,,,,,,,Sectionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.5,42,35,,78,26,,,,,23,,20,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/NC303LAF_York_SE_HR.jpg,,,,,,,,,,,,,,,YORK LEFT ARM FACING SOFA,,,,,,Shown with NC303CLRAF York Right Arm Facing Chaise.,,,https://www.hancockandmoore.com/Products/Detail?SKU=NC303LAF
NC203LAF,,,,,,,,,,,,,,,,,,,,,No Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,42,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YORK LEFT ARM FACING LOVESEAT,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=NC203LAF
NC303LAC,,,,,,,,,,,,,,,,,,,,,Sectionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.5,42,35,,101,26,,,,,23,,20,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/NC303LAC_York_SE_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/NC303LAC_RAF_York_SE_HR.jpg,,,,,,,,,,,,,,YORK LEFT ARM FACING CORNER SOFA,,,,,,Shown with NC303RAF York Right Arm Facing Sofa.,,,https://www.hancockandmoore.com/Products/Detail?SKU=NC303LAC
NC303-O,,,,,,,,,,,,,,,,,,,,,No Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,22,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YORK OTTOMAN,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=NC303-O
76,,,,,,,,,,,,,,,,,,,,,Sofas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,40.5,38,,,,,,,,,,,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/Y76STSBST_HR.jpg,,,,,,,,,,,,,,,YOUR WAY APT.SIZE SOFA,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=76
4190,,,,,,,,,,,,,,,,,,,,,Sofa / Chair Collections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5,49,39,,34,29,,,,,28.5,,23,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/4190_HR.jpg,,,,,,,,,,,,,,,SETTLEMENT CHAIR,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=4190
NC203RAF,,,,,,,,,,,,,,,,,,,,,No Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,42,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YORK RIGHT ARM FACING LOVESEAT,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=NC203RAF
9749,,,,,,,,,,,,,,,,,,,,,Sofa / Chair Collections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,42,38,,65,23.5,,,,,25,,21.5,,,,,,,,,,,,,https://www.hancockandmoore.com/Documents/prod-images/9749_September_SO1_HR.jpg,https://www.hancockandmoore.com/Documents/prod-images/9749_September_SO2_HR.jpg,,,,,,,,,,,,,,SEPTEMBER SOFA,,,,,,,,,https://www.hancockandmoore.com/Products/Detail?SKU=9749
