Tournament,Season,Round,Date,StartTime,MatchID,MatchCustomID,MatchStatus,HomeTeamnName,HomeTeamnNameCode,HomeTeamID,AwayTeamName,AwayTeamNameCode,AwayTeamID,HomeScoreFT,AwayScoreFT
Kenyan Premier League,24/25,1,2024-08-24,13:00,12654167,zufbsfxKb,Finished,Posta Rangers,PRA,213605,Bandari FC,BAN,138474,1,1
Kenyan Premier League,24/25,1,2024-08-24,15:00,12654173,KzdcsFhIc,Finished,Bidco United,BID,258735,Shabana FC,SHA,332880,1,1
Kenyan Premier League,24/25,1,2024-08-24,15:00,12654166,DufbsHvYb,Finished,Kenya Commercial Bank,KCB,138478,Kariobangi Sharks,KAR,246032,0,0
Kenyan Premier League,24/25,1,2024-09-25,05:41,12654170,LufbsDbzc,Postponed,Administration Police,APO,310078,Nairobi City Stars FC,NCS,138486,-,-
Kenyan Premier League,24/25,1,2024-08-24,16:00,12654169,NufbsWufb,Finished,Tusker,TUS,138496,Sofapaka,SOF,138488,1,1
Kenyan Premier League,24/25,1,2024-09-25,05:41,12654172,gLdbspqzc,Postponed,FC Talanta,TAL,310815,Gor Mahia FC,GOR,134306,-,-
Kenyan Premier League,24/25,1,2024-08-25,15:00,12654174,exKbsKaBg,Finished,Mara Sugar FC,MAR,815035,Kakamega Homeboyz,KAH,213604,3,3
Kenyan Premier League,24/25,1,2024-08-25,15:00,12654168,IDFsHufb,Finished,Mathare United,MAU,138482,AFC Leopards SC,LDS,76433,0,0
Kenyan Premier League,24/25,1,2024-08-25,15:00,12654171,YufbsCYHc,Finished,Ulinzi Stars,ULS,138498,Muranga Seal,MUR,332427,0,0
