TeamName,NameCode,ShortName,TeamID,TeamColors,Position,Played,Won,Drawn,Lost,GF,GA,Points
Kenya Commercial Bank,KCB,KCB ,138478,"['#00dd00', '#004165']",1,4,3,1,0,6,0,10
Kariobangi Sharks,KAR,Kariobangi Sharks,246032,"['#45c283', '#f8d815']",2,4,3,1,0,7,2,10
AFC Leopards SC,LDS,Leopards,76433,"['#ffffff', '#0000ff']",3,4,3,0,1,7,2,9
Mara Sugar FC,MAR,Mara Sugar FC,815035,"['#374df5', '#374df5']",4,4,2,1,1,5,2,7
Bandari FC,BAN,Bandari,138474,"['#3050c6', '#ffffff']",5,3,2,1,0,3,1,7
Tusker,TUS,Tusker,138496,"['#ffdf00', '#000000']",6,4,1,2,1,6,6,5
FC Talanta,TAL,FC Talanta,310815,"['#374df5', '#374df5']",7,2,1,1,0,2,1,4
Posta Rangers,PRA,Posta Rangers,213605,"['#c71328', '#ffffff']",8,3,1,1,1,2,4,4
Muranga Seal,MUR,Muranga Seal,332427,"['#374df5', '#374df5']",9,4,1,1,2,2,6,4
Gor Mahia FC,GOR,Gor Mahia,134306,"['#008000', '#000000']",10,1,1,0,0,4,0,3
Bidco United,BID,Bidco United,258735,"['#ffffff', '#4ba7df']",11,4,0,3,1,3,4,3
Shabana FC,SHA,Shabana FC,332880,"['#374df5', '#374df5']",12,2,1,2,0,3,3,2
Kakamega Homeboyz,KAH,Kakamega Homeboyz,213604,"['#fee34f', '#2b924d']",13,4,0,2,2,2,6,2
Mathare United,MAU,Mathare Utd,138482,"['#ffff00', '#006600']",14,4,0,2,2,1,9,2
Administration Police,APO,Administration Police,310078,"['#374df5', '#374df5']",15,1,0,1,0,1,1,1
Nairobi City Stars FC,NCS,City Stars,138486,"['#273887', '#f74f00']",16,3,0,1,2,2,4,1
Ulinzi Stars,ULS,Ulinzi Stars,138498,"['#ff0000', '#ffffff']",17,3,0,1,2,2,4,1
Sofapaka,SOF,Sofapaka,138488,"['#ffffff', '#0000ff']",18,4,0,1,3,1,4,1
