teamName,nameCode,shortName,teamID,teamcolor,position,Played,Won,Drawn,Lost,GF,GA,Points
Gor Mahia FC,GOR,Gor Mahia,134306,#008000,1,34,23,6,5,71,31,75
Bandari FC,BAN,Bandari,138474,#3050c6,2,34,17,11,6,40,20,62
Tusker,TUS,Tusker,138496,#ffdf00,3,34,16,8,10,47,35,56
Ulinzi Stars,ULS,Ulinzi Stars,138498,#ff0000,4,34,15,9,10,38,26,54
Sofapaka,SOF,Sofapaka,138488,#ffffff,5,34,15,8,11,45,41,53
Kariobangi Sharks,KAR,Kariobangi Sharks,246032,#45c283,6,34,13,12,9,48,40,51
AFC Leopards SC,LDS,Leopards,76433,#ffffff,7,34,14,9,11,47,48,51
Mathare United,MAU,Mathare Utd,138482,#ffff00,8,34,11,15,8,47,45,48
Sony Sugar,SSU,Sony Sugar,138490,#008633,9,34,12,9,13,33,30,45
Kakamega Homeboyz,KAH,Kakamega Homeboyz,213604,#fee34f,10,34,12,8,14,35,44,44
Zoo F.C.,ZFC,Zoo,397163,#067345,11,34,10,12,12,42,48,42
Mulembe United,MUD,Mulembe Utd,257511,#00aa00,12,34,10,11,13,29,30,41
Nzoia United,NZO,Nzoia Utd,246033,#4fbb6f,13,34,11,8,15,35,38,41
Chemelil Sugar,CSU,Chemelil Sugar,138476,#ffff00,14,34,9,12,13,24,28,39
Posta Rangers,PRA,Posta Rangers,213605,#c71328,15,34,9,11,14,27,37,38
Dandora Love,DLO,Dandora Love,397130,#2971b1,16,34,9,10,15,49,61,37
Muhoroni Youth FC,MUH,Muhoroni,257439,#e8de77,17,34,8,7,19,31,53,31
Thika United,TUN,Thika Utd,138492,#374df5,18,34,5,8,21,23,56,23
