teamName,nameCode,shortName,teamID,teamcolor,position,Played,Won,Drawn,Lost,GF,GA,Points
Tusker,TUS,Tusker,138496,#ffdf00,1,30,17,10,3,40,25,61
Gor Mahia FC,GOR,Gor Mahia,134306,#008000,2,30,15,12,3,35,14,54
Ulinzi Stars,ULS,Ulinzi Stars,138498,#ff0000,3,30,11,13,6,35,25,46
Posta Rangers,PRA,Posta Rangers,213605,#c71328,4,30,10,15,5,22,15,45
Chemelil Sugar,CSU,Chemelil Sugar,138476,#ffff00,5,30,12,9,9,24,24,45
Western Stima FC,WST,Western Stima,138500,#ffff00,6,30,10,14,6,32,24,44
Mathare United,MAU,Mathare Utd,138482,#ffff00,7,30,11,11,8,33,29,44
Kakamega Homeboyz,KAH,Kakamega Homeboyz,213604,#fee34f,8,30,10,12,8,27,25,42
Sony Sugar,SSU,Sony Sugar,138490,#008633,9,30,10,9,11,23,21,39
Muhoroni Youth FC,MUY,Muhoroni Youth,138484,#374df5,10,30,10,8,12,26,32,38
Bandari FC,BAN,Bandari,138474,#3050c6,11,30,9,10,11,28,31,37
Thika United,TUN,Thika Utd,138492,#374df5,12,30,8,10,12,24,32,34
AFC Leopards SC,LDS,Leopards,76433,#ffffff,13,30,8,9,13,32,38,30
Sofapaka,SOF,Sofapaka,138488,#ffffff,14,30,7,5,18,34,40,26
Kenya Rev. Authority,KAU,Kenya Revenue,138480,#374df5,15,30,5,11,14,24,42,26
Nairobi City Stars FC,NCS,City Stars,138486,#273887,16,30,3,10,17,17,39,19
